side,pitch,roll,j00_du_dp,j01_du_dr,j10_dl_dp,j11_dl_dr,diag_kp_upper,diag_kp_lower,diag_kd_upper,diag_kd_lower,equiv_kp_pitch,equiv_kp_roll,equiv_kp_cross
left,-0.05050371214747429,-0.045887622982263565,-1.0681152343749825,0.8544921875000902,-1.0681152343754163,-0.8239746093756383,2.530536409424491,2.601764404569445,2.530536409424491,2.601764404569445,5.855288819544906,3.614115338701087,-0.019798352304132717
right,-0.36557525396347046,0.06495083123445511,-1.3427734374960032,-0.8544921874964472,-1.4038085937473352,0.8850097656221133,1.6689759852343522,1.5352095636888992,1.668975985234352,1.5352095636888992,6.034635886687645,2.421055376033106,0.007645092758935204
left,0.02098398655653,-0.01282084546983242,-1.007080078124778,0.8239746093749444,-0.9765624999999791,-0.8544921875000902,2.8743817158245775,2.89027984478267,2.8743817158245775,2.89027984478267,5.671613150824712,4.061873694086378,0.02665131550890326
right,0.19609695672988892,0.11497263610363007,-0.8544921874964472,-0.8544921874964472,-0.885009765624195,0.762939453124306,3.405338611608633,3.642272130264428,3.405338611608633,3.642272130264428,5.339213025780188,4.606512890094978,0.027137042062414
left,-0.12087059766054153,0.013653830625116825,-1.1291503906260547,0.8239746093777199,-1.129150390623973,-0.8239746093742505,2.3411087398761667,2.341108739888651,2.3411087398761667,2.341108739888651,5.969736473446892,3.17891737702928,-1.5716762771131648e-12
right,0.3181968629360199,0.11367496848106384,-0.7629394531222243,-0.9155273437477794,-0.793457031250666,0.7629394531249999,3.5028099272379483,4.105907101461945,3.5028099272379487,4.105907101461945,4.623876330536532,5.325973846868217,-0.038866112511579086
left,-0.29157719016075134,-0.014572558924555779,-1.2512207031217804,0.8544921874964472,-1.2817382812529976,-0.8239746093763322,1.89084961931847,1.8696126400206616,1.89084961931847,1.8696126400206616,6.031724537787833,2.6499607750334055,-0.04708266739843054
right,-0.11712662130594254,0.11440467089414597,-1.0986328124996947,-0.8544921874999166,-1.1291503906260547,0.8239746093777199,2.3987378298760937,2.378157619696212,2.3987378298760937,2.378157619696212,5.927367144159866,3.366067412674869,0.039253635730237886
left,0.20762476325035095,-0.051078423857688904,-0.8850097656235011,0.8850097656235011,-0.8850097656235011,-0.8239746093749444,3.1877994656900936,3.4152093638742924,3.1877994656900936,3.4152093638742924,5.171755725187099,4.8155216285030455,-0.00636132315492796
right,-0.05419871583580971,0.08060169965028763,-1.0681152343750693,-0.8544921874999166,-1.0681152343754163,0.793457031250666,2.509990127468168,2.652588198883755,2.509990127468168,2.652588198883755,5.889831529729104,3.502687329783187,0.04278036200584877
