step,policy_step,time,cmd_vx,cmd_vy,cmd_yaw,base_vx,base_vy,base_yaw_rate,root_z,left_pitch_pos,left_pitch_vel,left_pitch_target,left_pitch_target_vel,left_pitch_error,left_pitch_tau,left_roll_pos,left_roll_vel,left_roll_target,left_roll_target_vel,left_roll_error,left_roll_tau,right_pitch_pos,right_pitch_vel,right_pitch_target,right_pitch_target_vel,right_pitch_error,right_pitch_tau,right_roll_pos,right_roll_vel,right_roll_target,right_roll_target_vel,right_roll_error,right_roll_tau,left_upper_pos,left_upper_vel,left_upper_target,left_upper_target_vel,left_upper_error,left_upper_tau,left_lower_pos,left_lower_vel,left_lower_target,left_lower_target_vel,left_lower_error,left_lower_tau,right_upper_pos,right_upper_vel,right_upper_target,right_upper_target_vel,right_upper_error,right_upper_tau,right_lower_pos,right_lower_vel,right_lower_target,right_lower_target_vel,right_lower_error,right_lower_tau,left_tau_equiv_residual,right_tau_equiv_residual,left_jacobian_cond,right_jacobian_cond,contact_count,source
0,0,0.0,0.2,0.0,0.6,0.0,0.0,0.0,0.6657550641832926,-0.15,0.0,-0.26230432987213137,-5.615216493606568,-0.11230432987213138,0.0,-0.0,0.0,0.14696401357650757,7.348200678825378,0.14696401357650757,0.0,-0.15,0.0,-0.34855673611164095,-9.927836805582048,-0.19855673611164096,0.0,-0.0,0.0,-0.2703281342983246,-13.51640671491623,-0.2703281342983246,0.0,0.16134112163926642,0.0,0.4183838566976291,12.852136752918137,0.2570427350583627,-0.0,0.16227346654995223,0.0,0.17061316995491865,0.41698517024832127,0.008339703404966425,-0.0,0.16134112163926642,0.0,0.6386888980454943,23.867388820311398,0.47734777640622794,-0.0,0.16227346654995223,0.0,0.17403315637279743,0.5879844911422599,0.011759689822845198,0.0,0.0,0.0,1.3645791883075877,1.3645791883075877,0,policy_pr_real_ankle_equivalent_ul
4,1,0.02,0.2,0.0,0.6,0.010706965774932829,-0.013629384575612984,0.2343070142308493,0.6632634553396226,-0.15350060784327418,-0.42448454025597615,-0.32725300788879397,-3.24743390083313,-0.17375240004551978,-0.014667746961702477,0.0016183749694755106,-0.0509588217873527,0.2999750077724457,7.6505497097969055,0.29835663280297015,0.023558092244003404,-0.15518739972485657,-0.4797043888148502,-0.46298261880874636,-5.72129413485527,-0.3077952190838898,0.04123508104275597,-0.0039713145215877245,-0.09716882171497584,-0.5161566138267517,-12.291423976421356,-0.512185299305164,-0.03026983080761725,0.16669168367925932,0.26752810199964505,0.6326055856171745,10.71108644597727,0.46591390193791515,0.02050101570340999,0.16492475570589304,0.13256445779704085,0.12047832570847793,-2.5067422123220364,-0.04444642999741512,-0.007655895041678798,0.17059015858929885,0.4624518475016215,1.0629054223988583,21.2108262176682,0.8923152638095595,0.0001097062628898918,0.16489003294331944,0.13082831966836073,0.12295670189803656,-2.553822723738043,-0.04193333104528288,-0.036078476301967435,3.469446951953614e-18,3.469446951953614e-18,1.3678822539993232,1.3694571468423713,2,policy_pr_real_ankle_equivalent_ul
8,2,0.04,0.2,0.0,0.6,0.00058005739679176,-0.013775951652813775,0.41962301849669764,0.6583605935816953,-0.1745369078970931,-1.220165506538184,-0.3324259161949158,-0.2586454153060913,-0.15788900829782268,5.500856598440253,-0.0038322832382686814,-0.5717390925748944,0.4352549910545349,6.763999164104462,0.4390872742928036,2.8355328003978153,-0.17996558215933156,-1.4941470376818653,-0.44454830288887026,0.9217157959938049,-0.2645827207295387,5.885215504594694,-0.0034519266882694355,0.20597934994834807,-0.6,-4.192169308662414,-0.5965480733117305,-2.690690521471678,0.1863650369571356,0.9836676638938141,0.7510436554011929,5.921903489200919,0.5646786184440573,-0.6668476443019008,0.19377016460532287,1.4422704449714912,0.010417489647781712,-5.503041803034811,-0.18335267495754115,-4.059545996598145,0.19879810952432017,1.4103975467510659,1.1066935256796129,2.1894051640377277,0.9078954161552927,-0.9139776907746898,0.19400219967987273,1.4556083368276642,0.026892924317854904,-4.803188879009083,-0.16710927536201783,-4.123676661398665,0.0,0.0,1.3879283348670364,1.3930000922390906,6,policy_pr_real_ankle_equivalent_ul
12,3,0.05999999999999999,0.2,0.0,0.6,-0.005679402179290941,-0.01054509676788004,0.5108756764384724,0.6574370401227848,-0.19251142725780096,-0.6799785842762383,-0.3706721305847168,-1.9123107194900513,-0.17816070332691586,3.4164691333145774,-0.015152230988530293,-0.5380595532667187,0.5765506029129028,7.064780592918396,0.5917028339014331,5.03611550686276,-0.20409967762002865,-0.9885088174353585,-0.44051947593688967,0.20144134759902954,-0.23641979831686102,4.4764813363129985,0.004970972983868355,0.443737310276492,-0.6,0.0,-0.6049709729838684,-5.26243852918815,0.19786731542450736,0.5751139233685878,0.9304271289391555,8.969173676898128,0.732559813514648,1.5631639130673576,0.2243186034800611,1.5274219437369119,-0.058287912376594524,-3.4352701012188116,-0.28260651585665564,-4.448283237980837,0.2201578706176878,1.067988054668381,1.0970724673882462,-0.4810529145683362,0.8769145967705584,1.2562733291626618,0.22954308366798937,1.777044199405832,0.021053384288302824,-0.291977001477604,-0.20848969937968653,-5.010521717887994,9.930136612989092e-16,0.0,1.4054552671560823,1.4162754709517573,7,policy_pr_real_ankle_equivalent_ul
16,4,0.08,0.2,0.0,0.6,0.00472507481840937,0.00016287006427456957,0.45492356365287556,0.6580408095472396,-0.20056443480016997,-0.2538852882355638,-0.40672304630279543,-1.8025457859039307,-0.20615861150262546,0.8812006652336262,-0.02151263698454022,-0.17870782832263463,0.6,1.1724698543548573,0.6215126369845402,4.330262329881581,-0.21502632421448817,-0.31180002773248106,-0.4517985820770264,-0.5639553070068359,-0.23677225786253822,1.161035934320699,0.013101051340291648,0.3716910435615237,-0.6,0.0,-0.6131010513402916,-5.055139033338195,0.20201313928210443,0.20729119287985348,1.0217415333681448,4.565720221449465,0.8197283940860404,2.2140785467835076,0.23918592667427552,0.7433661597107205,-0.027371347658263535,1.5458282359165494,-0.26655727433253906,-2.944190738384176,0.22635226881990184,0.30971991011070205,1.124419033926369,1.3673283269061476,0.8980667651064673,2.5261564191930823,0.24944755713503133,0.9952236733520983,0.037439141903692116,0.8192878807694646,-0.21200841523133923,-3.4830039098176284,1.1102230246251565e-16,8.881784197001252e-16,1.4134868117073407,1.4270763110252784,6,policy_pr_real_ankle_equivalent_ul
20,5,0.10000000000000002,0.2,0.0,0.6,0.024400707301844616,0.010520149097420339,0.3638057723475307,0.6581249668501064,-0.19629621226871596,0.23391490995912104,-0.46290680170059206,-2.8091877698898315,-0.2666105894318761,-2.558010143737543,-0.01870371568587646,0.10863086700409291,0.6,0.0,0.6187037156858765,2.2774585793439113,-0.20809202936398877,0.5590986275422376,-0.5082404851913452,-2.8220951557159424,-0.3001484558273565,-4.335185304254185,0.0161206165239836,0.0904501459669999,-0.6,0.0,-0.6161206165239835,-3.3920039440746983,0.19933567433340724,-0.13387324743485973,1.1527142576445815,6.548636213821834,0.9533785833111742,2.4345554325150807,0.23176770370112404,-0.3709111486575739,0.053692227521638526,4.053178758995103,-0.17807547617948552,-0.2672942809352698,0.21551195724686642,-0.5420155786517707,1.2890005677129324,8.229076689328163,1.073488610466066,3.828302881213002,0.243658565995139,-0.28944955699461705,0.1212885555194736,4.192470680789074,-0.1223700104756654,-0.1914039877748127,0.0,4.440892098500626e-16,1.4092438532415434,1.4204926119495862,6,policy_pr_real_ankle_equivalent_ul
24,6,0.12000000000000004,0.2,0.0,0.6,0.047194729894035024,0.023459195959162238,0.46842591159705815,0.658268400791883,-0.19468893972499973,-0.0064911668983446,-0.5478080749511719,-4.245063662528992,-0.35311913522617216,-1.583732676904995,-0.018118336149421557,0.0058031237173142465,0.6,0.0,0.6181183361494216,3.0184663778046708,-0.20015259586760364,0.3014609305783794,-0.6065069675445557,-4.9133241176605225,-0.40635437167695204,-3.347826433947488,0.018735421785377192,0.14673075621828263,-0.6,0.0,-0.6187354217853772,-3.7823500089160857,0.1979326460852944,-0.07015141240564182,1.4770493104439446,16.216752639968156,1.2791166643586502,2.4681371301124093,0.22937382186934568,-0.11969409158891775,0.1821062141454055,6.42069933118835,-0.047267607723940175,-1.1207844248823369,0.20386990693622115,-0.5821025155322637,1.6509982247971466,18.099882854210712,1.4471283178609256,3.659485157452173,0.23637428656014156,-0.3642139717498716,0.2759216931465524,7.73165688135394,0.039547406586410844,-0.8296913642147612,0.0,4.440892098500626e-16,1.4076727018054098,1.4129545043365945,7,policy_pr_real_ankle_equivalent_ul
28,7,0.14000000000000004,0.2,0.0,0.6,0.061540478187741214,0.03499550712870851,0.49802886141880404,0.6584467763367632,-0.19636766153069835,-0.12357245576200193,-0.5936141848564148,-2.290305495262146,-0.39724652332571647,-1.260040026840487,-0.018852035361306137,-0.0499852621446507,0.6,0.0,0.6188520353613061,3.309851262892772,-0.19664520982752334,0.10754494823231256,-0.6597041130065918,-2.6598572731018066,-0.4630589031790685,-2.7945752544372766,0.021882002690450892,0.16528466583225326,-0.6,0.0,-0.6218820026904509,-3.901814600566732,0.19929490598791239,0.06811299513089925,1.650835323605064,8.689300658055965,1.4515404176171516,2.5047095582142385,0.23197638365168366,0.13012808911689877,0.2549154888303484,3.6404637342471458,0.022939105178664765,-1.4317345804465444,0.1970653508828803,-0.34022780266704244,1.6516746422308661,0.033820871685974474,1.4546092913479858,3.5026082023062446,0.2348369613166258,-0.07686626217578846,0.36528110672053077,4.467970678698918,0.13044414540390498,-1.1310623429706963,0.0,0.0,1.4093187266566407,1.4097354039963461,6,policy_pr_real_ankle_equivalent_ul
32,8,0.16000000000000006,0.2,0.0,0.6,0.07045203133264022,0.04418847577669289,0.531816906607726,0.6584709159699018,-0.1993382461269894,-0.15894041323686245,-0.5824084520339966,0.5602866411209106,-0.38307020590700724,-1.2071652147809677,-0.02089532388963979,-0.12550077875491067,0.6,0.0,0.6208953238896397,3.6620947200485423,-0.19665302436561655,-0.05501307711842212,-0.6397205829620362,0.9991765022277832,-0.4430675585964196,-2.2059162241929577,0.025344507928333333,0.17852006562057657,-0.6,0.0,-0.6253445079283333,-3.997349210179614,0.2010823922789161,0.0893743145501863,1.6506930521026817,-0.0071135751191109264,1.4496106598237657,2.690945641800854,0.2372113616534742,0.26174890008952706,0.23684757525932862,-0.9033956785509902,-0.0003637863941455821,-1.6634812965326176,0.19415021617430295,-0.14575673542886747,1.6514213926132026,-0.012662480883174343,1.4572711764388997,3.3123132055452045,0.23773682538261842,0.1449932032996315,0.3311800259304509,-1.705054039503992,0.0934432005478325,-1.436632876842606,0.0,0.0,1.4122762703484446,1.409931281340484,6,policy_pr_real_ankle_equivalent_ul
36,9,0.18000000000000008,0.2,0.0,0.6,0.07673261066931572,0.05042410545974138,0.5583887968312318,0.6583611897785764,-0.20259663964928587,-0.1654142506676861,-0.5357934772968292,2.330748736858368,-0.3331968376475434,-1.0795705785853709,-0.02387917143146743,-0.1175804318001758,0.6,0.0,0.6238791714314674,3.855087494219303,-0.19972642839999874,-0.19873514151494526,-0.5653449535369873,3.7187814712524414,-0.36561852513698856,-1.3401949481572035,0.028885922839655128,0.1768008047026921,-0.6,0.0,-0.628885922839655,-4.025473948716264,0.20242335579456772,0.06704817578258027,1.8956025436911983,12.24547457942583,1.6931791878966305,2.7509416138807397,0.24358450674871632,0.3186572547621058,0.16344715224107279,-3.670021150912792,-0.08013735450764353,-1.8317611717991156,0.19478990746226763,0.03198456439823388,1.6504779261163733,-0.04717332484146519,1.4556880186541057,2.9639661843545833,0.24434487060730734,0.33040226123444566,0.20965920639814134,-6.076040976615479,-0.034685664209165995,-1.8208563747312785,4.440892098500626e-16,0.0,1.4155695446402599,1.4131030236510982,8,policy_pr_real_ankle_equivalent_ul
40,10,0.2000000000000001,0.2,0.0,0.6,0.08197007052984985,0.05084860544870332,0.5531564475553152,0.6582475806786326,-0.20573103611110177,-0.14872009214410134,-0.4765284895896912,2.963249385356903,-0.2707974534785894,-0.8813226036481381,-0.02492810534077833,-0.01324013059561924,0.6,0.0,0.6249281053407784,3.3204885263904074,-0.205335665983123,-0.31759850858912925,-0.4632554888725281,5.104473233222961,-0.25791982288940507,-0.3265654369477131,0.03223320019730486,0.1640046985835586,-0.6,0.0,-0.6322332001973049,-3.9858201164776084,0.20526014011945637,0.14183921624443263,2.109126871394424,10.676216385161286,1.9038667312749675,2.347699069712094,0.24820361874649155,0.23095559988876163,0.0737847104716062,-4.483122088473329,-0.17441890827488535,-1.598259439333365,0.1986101102953687,0.19101014165505414,2.144796163355997,24.715911861981187,1.9461860530606283,2.51484521662929,0.25383079207695747,0.47429607348250663,0.05420430757313291,-7.772744941250421,-0.19962648450382456,-2.2256008363783573,1.1102230246251565e-16,4.577566798522237e-16,1.4186527334123726,1.4187332337896637,8,policy_pr_real_ankle_equivalent_ul
44,11,0.2200000000000001,0.2,0.0,0.6,0.08652688320115368,0.04706504866014933,0.552356328907303,0.6580811186944916,-0.20841439067516832,-0.12571611330917273,-0.4149549245834351,3.078678250312805,-0.20654053390826677,-0.6895173679982833,-0.024074788739448915,0.07242135012337296,0.6,0.0,0.6240747887394489,2.851959046687,-0.2129692926307776,-0.4097030775970339,-0.35180203020572665,5.572672933340073,-0.13883273757494904,0.7081264863373855,0.03532540626630184,0.1509194256921672,-0.6,0.0,-0.6353254062663019,-3.938123335843313,0.2091764816412573,0.19581707609004628,2.2579482168537752,7.441067272967561,2.048771735212518,1.9871180932818548,0.25070182543507263,0.12491033442905419,-0.015666358455504494,-4.472553446355534,-0.26636818389057715,-1.4014130240700955,0.20509009804410722,0.3239993874369254,2.3813159034089266,11.825987002646476,2.1762258053648194,2.0563054909180085,0.26557296948829656,0.5871088705669547,-0.10409450134562889,-7.91494044593809,-0.3696674708339255,-2.6296895960904436,4.577566798522237e-16,1.1102230246251565e-16,1.4211959077596954,1.4263374808612526,8,policy_pr_real_ankle_equivalent_ul
48,12,0.24000000000000013,0.2,0.0,0.6,0.09078914957522731,0.03983130780953131,0.5405355335252996,0.6578661197174017,-0.2107029497914216,-0.10969210869776444,-0.3538247287273407,3.056509792804718,-0.14312177893591913,-0.4640258849985921,-0.02197688491274191,0.11940943921881068,0.6,0.0,0.6219768849127418,2.5560425514514713,-0.22207198840329936,-0.4740556939792151,-0.24011869132518768,5.584166944026948,-0.018046702921888313,1.6584717629700032,0.03814145334198836,0.13576098091178956,-0.6,0.0,-0.6381414533419884,-3.882348930039036,0.21368050161536933,0.22520099870560195,2.3776660831722882,5.98589331592565,2.163985581556919,1.7159075575907532,0.25169084630470345,0.049451043481540946,-0.10130883495067008,-4.28212382475828,-0.3529996812553735,-1.3210064149469365,0.21362286259825175,0.4266382277072267,2.561957811068874,9.032095382997362,2.348334948470622,1.6333760608787549,0.2789286749508588,0.6677852731281131,-0.253822294118363,-7.486389638636704,-0.5327509690692218,-2.987092420878791,4.47545209131181e-16,8.881784197001252e-16,1.4232936826269402,1.4353861095672034,8,policy_pr_real_ankle_equivalent_ul
52,13,0.2600000000000001,0.2,0.0,0.6,0.09410251225900865,0.030090116237481403,0.5241141756856182,0.657613236484469,-0.2128029227673573,-0.10414174479608815,-0.293267035484314,3.0278846621513367,-0.08046411271695669,-0.18763921938485395,-0.01941407406800265,0.12947096582575665,0.6,0.0,0.6194140740680026,2.4514006688857695,-0.23215917533358077,-0.5157169952769768,-0.13227614536881446,5.392127297818661,0.0998830299647663,2.4973971830612145,0.040594988738975386,0.11652117546074464,-0.6,0.0,-0.6405949887389754,-3.8020064018707753,0.2183567810622617,0.2338139723446181,2.480519956446597,5.1426936637154474,2.2621631753843356,1.5378736698935864,0.2520668008204466,0.018797725787156327,-0.18351372804515875,-4.110244654724434,-0.43558052886560533,-1.375024509563194,0.2237327665355158,0.5054951968632023,2.7092852470215245,7.366371797632532,2.4855524804860085,1.2473287305760656,0.29327541572188753,0.7173370385514355,-0.39225155437785336,-6.9214630129745185,-0.6855269700997408,-3.2765845833469984,5.551115123125783e-17,0.0,1.4251950720869775,1.4454173727736719,8,policy_pr_real_ankle_equivalent_ul
56,14,0.28000000000000014,0.2,0.0,0.6,0.09616713829339701,0.01902002215930605,0.5092760821800206,0.6573360312201053,-0.2148872575732884,-0.10537642346798604,-0.2335447907447815,2.986112236976625,-0.0186575331714931,0.12643107223432448,-0.016979373494505946,0.1150529408604966,0.6,0.0,0.6169793734945059,2.4873291554154475,-0.242867204507335,-0.5414445544308992,-0.030860701203346247,5.070772208273411,0.21200650330398876,3.2341603283051628,0.04246383962928356,0.08383484434873159,-0.6,0.0,-0.6424638396292836,-3.655989110574167,0.22291012900204796,0.2276673969893131,2.5715676049450895,4.552382424924617,2.3486574759430416,1.4282050523818584,0.25253304087795797,0.02331200287556956,-0.2624125769315592,-3.9449424443200236,-0.5149456178095172,-1.5276321491163574,0.2351943437723262,0.5730788618405203,2.8317527668967784,6.123375993762692,2.5965584231244523,0.8691220338277541,0.308010223026426,0.7367403652269233,-0.5186863836005602,-6.321741461135341,-0.8266966066269862,-3.4785021467280695,8.326672684688674e-17,0.0,1.4270988499743666,1.4560691931095397,8,policy_pr_real_ankle_equivalent_ul
60,15,0.30000000000000016,0.2,0.0,0.6,0.09690388017600754,0.007326078558122231,0.49391729412611574,0.657034280807171,-0.2170299186357594,-0.10859793012942373,-0.17515318989753723,2.919580042362213,0.04187672873822218,0.45181872217289953,-0.01498278209670179,0.09004544780486697,0.6,0.0,0.6149827820967018,2.5935173455152074,-0.2539451306818387,-0.5567551891329144,0.06313782036304474,4.69992607831955,0.3170829510448835,3.8816393181747433,0.04367863729774486,0.05212833108733598,-0.6,0.0,-0.6436786372977449,-3.4996965163712983,0.22716756092207938,0.2128715960015709,2.6531534598514197,4.0792927453165095,2.42598589892934,1.3559890223828472,0.25343902275970814,0.04529909408750865,-0.3378073111179879,-3.7697367093214336,-0.5912463338776961,-1.7259903647194126,0.24777955149100392,0.6292603859338858,2.934629850740341,5.143854192178132,2.686850299249337,0.5256185232295074,0.3227832585407112,0.7386517757142608,-0.6341158391437572,-5.771472777159853,-0.9568990976844685,-3.631857244963375,5.551115123125783e-17,0.0,1.4290919393993247,1.4670830124041123,7,policy_pr_real_ankle_equivalent_ul
