step,policy_step,time,cmd_vx,cmd_vy,cmd_yaw,base_vx,base_vy,base_yaw_rate,root_z,left_pitch_pos,left_pitch_vel,left_pitch_target,left_pitch_target_vel,left_pitch_error,left_pitch_tau,left_roll_pos,left_roll_vel,left_roll_target,left_roll_target_vel,left_roll_error,left_roll_tau,right_pitch_pos,right_pitch_vel,right_pitch_target,right_pitch_target_vel,right_pitch_error,right_pitch_tau,right_roll_pos,right_roll_vel,right_roll_target,right_roll_target_vel,right_roll_error,right_roll_tau,left_upper_pos,left_upper_vel,left_upper_target,left_upper_target_vel,left_upper_error,left_upper_tau,left_lower_pos,left_lower_vel,left_lower_target,left_lower_target_vel,left_lower_error,left_lower_tau,right_upper_pos,right_upper_vel,right_upper_target,right_upper_target_vel,right_upper_error,right_upper_tau,right_lower_pos,right_lower_vel,right_lower_target,right_lower_target_vel,right_lower_error,right_lower_tau,left_tau_equiv_residual,right_tau_equiv_residual,left_jacobian_cond,right_jacobian_cond,contact_count,source
0,0,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.6657550641832926,-0.15,0.0,-0.46267449259758,-15.633724629878998,-0.31267449259757996,0.0,-0.0,0.0,0.33731815218925476,16.865907609462738,0.33731815218925476,0.0,-0.15,0.0,-0.5752617061138153,-21.263085305690765,-0.4252617061138153,0.0,-0.0,0.0,-0.4706067442893982,-23.53033721446991,-0.4706067442893982,0.0,0.16134112163926642,0.0,0.8836342556536736,36.11465670072036,0.7222931340144072,-0.0,0.16227346654995223,0.0,0.27377175233927614,5.574914289466196,0.11149828578932391,-0.0,0.16134112163926642,0.0,1.3198270779894754,57.92429781751045,1.158485956350209,-0.0,0.16227346654995223,0.0,0.33137370627517976,8.455011986261376,0.16910023972522753,0.0,0.0,0.0,1.3645791883075877,1.3645791883075877,0,policy_pr_real_ankle_equivalent_ul
4,1,0.02,0.5,0.1,0.0,0.03323641040121196,-0.009155482251528912,-0.1611748081334222,0.6632621515098255,-0.15679141833188662,-0.5541631118197374,-0.785779619216919,-16.15525633096695,-0.6289882008850324,-0.001680882479487611,0.00530190352089278,0.1918863326012794,0.6,13.13409239053726,0.5946980964791072,0.039320283971986836,-0.15733483960099945,-0.4103122177046247,-0.9570049285888672,-19.087161123752594,-0.7996700889878677,-0.0883071692507631,-0.008383280973031244,-0.46095275822162707,-0.6,-6.469662785530089,-0.5916167190269688,-0.048358445155077145,0.17354062380989724,0.6099751085315408,1.653285145642557,38.482544499444174,1.4797445218326597,0.024246681501416633,0.16561668981619845,0.1671611633123113,0.5989642332888188,16.259624047477132,0.4333475434726203,-0.02275192112196271,0.17674004902250418,0.7699463691618876,1.6554640576203115,16.781848981541803,1.4787240085978073,0.06743168690237836,0.1636606804353578,0.06936069427027902,1.0047249915331147,33.66756426289674,0.8410643110977569,0.009551113767713604,1.0842021724855044e-18,6.938893903907228e-18,1.3709679211220926,1.3714771247702473,1,policy_pr_real_ankle_equivalent_ul
8,2,0.04,0.5,0.1,0.0,0.03656155223479828,-0.012680183251753501,-0.05705019947869091,0.6583613211243027,-0.17778412282135028,-0.9543218286267575,-1.1027670741081237,-15.849372744560236,-0.9249829512867734,2.3556916660161633,-0.001080288493960694,-1.1659194076215535,0.6,0.0,0.6010802884939607,6.028096067681222,-0.17820423954978742,-0.919236910988621,-1.3106253385543822,-17.68102049827575,-1.1324210990045949,1.4501169869456412,-0.003125023475173497,1.1395677532299104,-0.6,0.0,-0.5968749765248265,-5.831097615842566,0.19245256546463335,0.9455970827368056,1.6532677423537518,-0.0008701644402586695,1.4608151768891184,2.5897342846621894,0.19525201944289242,1.481766481334698,1.6480308204881464,52.45332935996638,1.452778801045254,-4.604257206541106,0.19646946096223883,0.9864705969867327,1.6595016297931489,0.20187860864187002,1.46303216883091,2.858373241418047,0.1922195573490106,1.42794384568264,1.8014526401722806,39.83638243195829,1.60923308282327,-4.098096871071593,8.881784197001252e-16,8.881784197001252e-16,1.390972738247922,1.3913212570892206,4,policy_pr_real_ankle_equivalent_ul
12,3,0.05999999999999999,0.5,0.1,0.0,0.05386417394336586,-0.005521395938408691,-0.009970775533889184,0.6578217348661424,-0.1927025700883147,-0.6069268983554712,-1.396064782142639,-14.664885401725769,-1.2033622120543244,-1.0706368891043594,-0.018677276161709406,-0.6881145449332675,0.6,0.0,0.6186772761617094,7.1752376547492736,-0.18872653974331635,-0.3066811259408091,-1.5,-9.468733072280887,-1.3112734602566836,-3.388005894389831,0.015121501732263969,0.7334305460372572,-0.6,0.0,-0.615121501732264,-7.330249783133122,0.19512025461719765,0.13338445762821477,1.6603228831961634,0.35275704212057724,1.4652026285789657,4.734366121259169,0.2274902292661951,1.6119104911651347,1.8095714398471365,8.077030967949506,1.5820812105809414,-3.8093154796275734,0.1934427387523975,-0.15133611049206602,1.6612175944514762,0.08579823291636757,1.4677748556990786,5.810145040127652,0.2198263537398737,1.380339819543154,1.8197444260660323,0.9145892946875844,1.5999180723261586,-2.9140025449054754,1.1102230246251565e-15,4.440892098500626e-16,1.4057908458993704,1.4018258605483522,7,policy_pr_real_ankle_equivalent_ul
16,4,0.08,0.5,0.1,0.0,0.07515905443271739,0.006832068470359713,-0.1123070199565037,0.6587810506347276,-0.20152345231096944,-0.3626063144911597,-1.5,-5.196760892868046,-1.2984765476890305,-3.9511069395161647,-0.024639214567679434,-0.1045246557423348,0.6,0.0,0.6246392145676795,4.215599127470615,-0.18795548494772263,0.2062683837178798,-1.5,0.0,-1.3120445150522775,-7.161494067362598,0.02439110168983548,0.32075822960732614,-0.6,0.0,-0.6243911016898355,-5.149349879963731,0.20050835825506064,0.2694051818931495,1.6612187450197562,0.04479309117964014,1.4607103867646956,4.167772902370387,0.2429401960990824,0.7724983416443648,1.8197454460367977,0.5087003094830567,1.5768052499377152,-0.8303337856066487,0.1847202009834404,-0.43612688844785474,1.661217469888549,-6.228146365305776e-06,1.4764972689051086,6.1030537604492805,0.22665401652202127,0.34138313910737905,1.8197456179493232,5.959416454759392e-05,1.593091601427302,0.0032539726105773018,4.440892098500626e-16,0.0,1.414579275586294,1.4015309277845183,4,policy_pr_real_ankle_equivalent_ul
20,5,0.10000000000000002,0.5,0.1,0.0,0.09323701208939465,0.02137774785417226,-0.03828381416832937,0.6597254582137139,-0.21099402926323305,-0.5403787575158104,-1.5,0.0,-1.289005970736767,-3.95921480991141,-0.024154802149591138,0.06917263387204164,0.6,0.0,0.6241548021495911,2.8937052314215483,-0.18312504401673949,0.2301825457654647,-1.5,0.0,-1.3168749559832604,-7.79722013116837,0.027742285215219202,0.09773850097434301,-0.6,0.0,-0.6277422852152191,-3.8242459693271895,0.21218676983690588,0.5839205790922619,1.661217926359514,-4.093301211316458e-05,1.449031156522608,3.3687633007373754,0.25386262716917246,0.5461215535045028,1.8197454899381666,2.1950684492288985e-06,1.5658828627689942,-0.05364688475501719,0.17623670184185072,-0.4241749570794845,1.661217469888549,0.0,1.4849807680466982,5.590822871544154,0.2237619542310055,-0.1446031145507884,1.8197456179493232,0.0,1.5959836637183178,1.0779498563081078,9.930136612989092e-16,0.0,1.4236892420641796,1.3971020612375533,4,policy_pr_real_ankle_equivalent_ul
24,6,0.12000000000000004,0.5,0.1,0.0,0.10682976074586065,0.036570493319877016,0.01952224852097981,0.6603888687571644,-0.22348860240528248,-0.6512939876510004,-1.5,0.0,-1.2765113975947175,-3.190702088131422,-0.02160387511979469,0.13832767377170788,0.6,0.0,0.6216038751197946,2.4291702975526777,-0.1803601828045161,0.1053395756700911,-1.5,0.0,-1.319639817195484,-7.1971688769451605,0.02840046584871188,0.007622941640533112,-0.6,0.0,-0.6284004658487119,-3.2442235418254928,0.22934426882765657,0.8578749495375348,1.6612173198328708,-3.0326332156604963e-05,1.4318730510052142,2.7581786239717743,0.2668009389974386,0.6469155914133079,1.819745717952581,1.1400720723031554e-05,1.5529447789551425,-0.11330870766218046,0.1724545423079744,-0.18910797669381557,1.661217469888549,0.0,1.4887629275805745,4.996115012522372,0.22106558550276276,-0.13481843641213742,1.8197456179493232,0.0,1.5986800324465604,1.17189914831521,0.0,8.881784197001252e-16,1.4356692035397158,1.3945014637383444,4,policy_pr_real_ankle_equivalent_ul
28,7,0.14000000000000004,0.5,0.1,0.0,0.11993986910753078,0.05104985406325258,0.05945777284755429,0.6605389202156267,-0.23691514498579552,-0.6573978103413567,-1.5,0.0,-1.2630848550142044,-2.9586371046365434,-0.019234751193424656,0.09396558841021141,0.6,0.0,0.6192347511934246,2.5432818701679034,-0.1796118574800887,0.030832034501241896,-1.5,0.0,-1.3203881425199113,-6.73574683057925,0.02827201543350262,-0.007461893212652071,-0.6,0.0,-0.6282720154335026,-3.097045933063244,0.24764078801182884,0.9148259592086135,1.6612174692490305,7.470807983356309e-06,1.4135766812372017,2.7152858594552165,0.28117844540495823,0.7188753203759807,1.819745731013325,6.53037190989636e-07,1.5385672856083668,-0.28898182572680814,0.17169099509542024,-0.0381773606277086,1.661217469888549,0.0,1.4895264747931287,4.713980545483039,0.2200819018995303,-0.04918418016162246,1.8197456179493232,0.0,1.5996637160497928,1.062148228078085,0.0,0.0,1.448640206320572,1.3937784124542676,3,policy_pr_real_ankle_equivalent_ul
32,8,0.16000000000000006,0.5,0.1,0.0,0.13732424280526104,0.06460736645456865,0.07495607311391715,0.6601681090010896,-0.24906410556830513,-0.5646352105241861,-1.5,0.0,-1.2509358944316948,-3.2967314663865297,-0.018471675136405796,0.006496281981345147,0.6,0.0,0.6184716751364058,2.9527952827769184,-0.17964289387072518,0.005128887028829016,-1.5,0.0,-1.3203571061292747,-6.577172097338568,0.028353051778411534,0.014426679821565362,-0.6,0.0,-0.6283530517784115,-3.1741558677704074,0.2631846591875209,0.7771935587846015,1.6612174692490305,0.0,1.3980328100615096,3.0801684603260244,0.29550030417671713,0.716092938587945,1.819745731013325,0.0,1.524245426836608,-0.4032489166270689,0.17165872206211893,-0.0016136516650652744,1.661217469888549,0.0,1.48955874782643,4.6926282881945856,0.22018566255402866,0.005188032724917635,1.8197456179493232,0.0,1.5995599553952946,0.9478844993647784,0.0,4.440892098500626e-16,1.4605159673822432,1.3938126632521786,3,policy_pr_real_ankle_equivalent_ul
36,9,0.18000000000000008,0.5,0.1,0.0,0.1608474394548087,0.07540310099657893,0.059089447175314155,0.6594249137856949,-0.2580035989685844,-0.37330491926903403,-1.5,0.0,-1.2419964010314155,-4.141552116637987,-0.018716201257078357,0.004148746467033542,0.6,0.0,0.6187162012570784,3.1239902343909214,-0.18023204571177578,-0.03642031180996716,-1.5,0.0,-1.3197679542882241,-6.427545720363403,0.029089480720733817,0.051810431511529906,-0.6,0.0,-0.6290894807207338,-3.3516183162098288,0.2740347190079462,0.5425029910212653,1.6612174692490305,0.0,1.3871827502410843,3.5080146097220295,0.30681491639500935,0.565730610914611,1.819745731013325,0.0,1.5129308146183156,-0.17134945514398378,0.1717232872017594,0.003228256982022726,1.661217469888549,0.0,1.4894941826867896,4.733511201778602,0.2214885417739848,0.06514396099780717,1.8197456179493232,0.0,1.5982570761753383,0.7770603107915485,4.440892098500626e-16,4.440892098500626e-16,1.4693344467088783,1.3944218791896628,4,policy_pr_real_ankle_equivalent_ul
