step,policy_step,time,cmd_vx,cmd_vy,cmd_yaw,base_vx,base_vy,base_yaw_rate,root_z,left_pitch_pos,left_pitch_vel,left_pitch_target,left_pitch_target_vel,left_pitch_error,left_pitch_tau,left_roll_pos,left_roll_vel,left_roll_target,left_roll_target_vel,left_roll_error,left_roll_tau,right_pitch_pos,right_pitch_vel,right_pitch_target,right_pitch_target_vel,right_pitch_error,right_pitch_tau,right_roll_pos,right_roll_vel,right_roll_target,right_roll_target_vel,right_roll_error,right_roll_tau,left_upper_pos,left_upper_vel,left_upper_target,left_upper_target_vel,left_upper_error,left_upper_tau,left_lower_pos,left_lower_vel,left_lower_target,left_lower_target_vel,left_lower_error,left_lower_tau,right_upper_pos,right_upper_vel,right_upper_target,right_upper_target_vel,right_upper_error,right_upper_tau,right_lower_pos,right_lower_vel,right_lower_target,right_lower_target_vel,right_lower_error,right_lower_tau,left_tau_equiv_residual,right_tau_equiv_residual,left_jacobian_cond,right_jacobian_cond,contact_count,source
0,0,0.0,0.5,-0.1,0.0,0.0,0.0,0.0,0.6657550641832926,-0.15,0.0,-0.5034839749336243,-17.674198746681213,-0.35348397493362427,0.0,-0.0,0.0,0.29838883876800537,14.919441938400269,0.29838883876800537,0.0,-0.15,0.0,-0.6138732969760895,-23.193664848804474,-0.4638732969760895,0.0,-0.0,0.0,-0.4313555657863617,-21.567778289318085,-0.4313555657863617,0.0,0.16134112163926642,0.0,0.9214218301898514,38.004035427529246,0.760080708550585,-0.0,0.16227346654995223,0.0,0.36740036751424554,10.256345048214666,0.2051269009642933,-0.0,0.16134112163926642,0.0,1.405562796007885,62.21108371843093,1.2442216743686185,-0.0,0.16227346654995223,0.0,0.42706551257352104,13.23960230117844,0.2647920460235688,0.0,0.0,0.0,1.3645791883075877,1.3645791883075877,0,policy_pr_real_ankle_equivalent_ul
4,1,0.02,0.5,-0.1,0.0,0.03091892143560224,-0.013637433952431083,-0.24552985873390618,0.6632951092148395,-0.15742858446245941,-0.5849834021743915,-0.8837894439697266,-19.015273451805115,-0.7263608595072671,-0.004876255159062204,0.004608549115668092,0.15505562147234553,0.5514402389526367,12.652570009231567,0.5468316898369686,0.037301333557325345,-0.15943856371160117,-0.675186442888069,-1.0299065351486205,-20.80166190862655,-0.8704679714370194,-0.026103719458211216,-0.007008913601042458,-0.2869102847365387,-0.6,-8.432221710681914,-0.5929910863989575,-0.04361399091111595,0.17369117083500532,0.617502459786945,1.6598446054164733,36.92113876133109,1.486153434581468,0.02443080638975151,0.1669283711311798,0.23274522906137907,0.8556870035303187,24.414331800803655,0.6887586323991388,-0.02015227275129044,0.17800590303951913,0.8332390700126354,1.6564950378145116,12.546612090331333,1.4784891347749924,0.03743608779696618,0.16722874011890015,0.24776367844739633,1.2533046761487026,41.31195817875908,1.0860759360298025,-0.014698889216226151,8.673617379884035e-18,7.757919228897728e-18,1.3715736594854102,1.3734680436706,2,policy_pr_real_ankle_equivalent_ul
8,2,0.04,0.5,-0.1,0.0,0.025730731345026157,-0.017415912180020993,-0.11130798773441948,0.6582091726144133,-0.1782679297676148,-0.8702872831722832,-1.258855366706848,-18.753296136856072,-1.0805874369392332,1.6907467128245175,-0.004808836452595333,-1.4867349936790735,0.6,2.4279880523681627,0.6048088364525953,6.8670696574551195,-0.18760255686303542,-1.4898684668977211,-1.3839367866516112,-17.701512575149536,-1.1963342297885757,3.853578499927057,-0.008133060942814392,0.49782401074274013,-0.6,0.0,-0.5918669390571856,-2.0926404374993566,0.18988591706465266,0.8097373114823669,1.6589868299830652,-0.04288877167040184,1.4691009129184125,3.3772963336326924,0.19893716000979134,1.6004394439305762,1.7965843225117086,47.0448659490695,1.5976471625019173,-4.817955937599316,0.21166583411768042,1.6829965539080642,1.6602077056640838,0.18563339247861244,1.4485418715464033,-0.39454494581353916,0.1990224498808975,1.5896854880998679,1.8084056348698136,27.755047936055554,1.6093831849889162,-2.8852206919943395,0.0,0.0,1.3915051583611662,1.4002770841054493,4,policy_pr_real_ankle_equivalent_ul
12,3,0.05999999999999999,0.5,-0.1,0.0,0.040761110087710974,-0.03280809159369557,0.012795033295998171,0.6572932765526353,-0.1899430115347375,-0.4063881855276552,-1.5,-12.057231664657596,-1.3100569884652624,-2.7448828195908677,-0.026881705357351463,-0.8692626351801008,0.6,0.0,0.6268817053573514,8.225919211661129,-0.2110105758552507,-0.9589658648535739,-1.5,-5.803160667419438,-1.2889894241447493,-0.40376261381964706,0.0034451319503391565,0.5099901897019304,-0.6,0.0,-0.6034451319503391,-5.850213787663827,0.1849496388296521,-0.24681391175002815,1.6612203556437704,0.11167628303525579,1.4762707168141183,6.072550895969402,0.2310747028358849,1.6068771413046787,1.8197462829453037,1.1580980216797543,1.588671580109419,-3.715363558864215,0.22968567510797835,0.9009920495148968,1.6612192331149347,0.050576372542543435,1.4315335580069564,3.6481414408316195,0.23651905032778006,1.8748300223441274,1.8197459496565098,0.5670157393348085,1.5832268993287297,-3.3053608991378773,1.3322676295501878e-15,2.7755575615628914e-16,1.4035801645488797,1.4229112537780277,7,policy_pr_real_ankle_equivalent_ul
16,4,0.08,0.5,-0.1,0.0,0.06767336535168834,-0.03864908792270179,-0.06476962363938142,0.6581209679953555,-0.19393739169950935,-0.0872854569850119,-1.5,0.0,-1.3060626083004907,-5.723876996598142,-0.037287309730025364,-0.3380103410255273,0.6,0.0,0.6372873097300253,5.438856508417062,-0.2208010993661428,-0.2383028876308427,-1.5,0.0,-1.279198900633857,-4.40517848995173,0.01055035077253692,0.25566276488760886,-0.6,0.0,-0.6105503507725369,-4.660351548618358,0.18084673513661045,-0.20514518465208215,1.66121804707611,-0.0001154283830184788,1.4803713119394994,5.651702230587814,0.24446497725053556,0.6695137207325327,1.8197459507220572,-1.6611162323432183e-05,1.5752809734715216,-0.7855052793768343,0.23544742378468678,0.2880874338354211,1.6612169106903536,-0.00011612122905457767,1.4257694869056667,4.591169307709007,0.2542685341352203,0.8874741903720131,1.8197457390996268,-1.052784415200847e-05,1.5654772049644063,-0.93276308039626,0.0,8.881784197001252e-16,1.4081310709859665,1.4325879446141605,4,policy_pr_real_ankle_equivalent_ul
20,5,0.10000000000000002,0.5,-0.1,0.0,0.09421942641252337,-0.037166983241265515,-0.07582693498003966,0.6590373857020287,-0.19750800857976247,-0.25326317764468215,-1.5,0.0,-1.3024919914202375,-5.513784605026243,-0.04003419288917364,-0.05392895251370329,0.6,0.0,0.6400341928891736,3.700214544722615,-0.2192899919864546,0.1445621086518781,-1.5,0.0,-1.2807100080135454,-7.021785220277849,0.013108851761314778,0.06450650402055516,-0.6,0.0,-0.6131088517613148,-3.5764472084640886,0.182730369205947,0.09418170346682797,1.6612175027226417,-2.7217673415069754e-05,1.4784871335166947,4.516221369744802,0.2509910587860507,0.32630407677575746,1.8197457392116847,-1.0575518627486957e-05,1.568754680425634,0.1523303795214957,0.23146723687549245,-0.19900934545971638,1.6612173847194758,2.3701456108859986e-05,1.4297501478439834,5.03128805756855,0.2545924042071002,0.01619350359399474,1.8197456384018802,-5.03488732928048e-06,1.56515323419478,0.8016434302496843,0.0,4.440892098500626e-16,1.4117850022525633,1.4312100882930525,4,policy_pr_real_ankle_equivalent_ul
24,6,0.12000000000000004,0.5,-0.1,0.0,0.11322221428377889,-0.029911368352565453,-0.025098157727993335,0.6599142853001043,-0.20689774082606194,-0.555752966630266,-1.5,0.0,-1.293102259173938,-3.92686180686498,-0.03903796314031088,0.08868996101538645,0.6,0.0,0.6390379631403109,2.8486614047771206,-0.21607350125593583,0.14967823873275618,-1.5,0.0,-1.2839264987440642,-7.211635989844984,0.013017823927819128,-0.03677556479700469,-0.6,0.0,-0.6130178239278191,-2.9749093607985917,0.19470286208647158,0.5986246440262285,1.6612175027226417,0.0,1.46651464063617,3.3311287224852353,0.2613750550326248,0.519199812328705,1.8197457392116847,0.0,1.5583706841790599,-0.029758396109433063,0.22767878686207466,-0.18942250067088967,1.6612175197397443,6.7510134260651e-06,1.4335387328776696,4.7603596730203614,0.25063807266769406,-0.1977165769703082,1.8197457013478735,3.1472996653292284e-06,1.5691076286801795,1.2444619455512242,6.280369834735101e-16,0.0,1.4207527143458332,1.4280899885704659,4,policy_pr_real_ankle_equivalent_ul
28,7,0.14000000000000004,0.5,-0.1,0.0,0.12643904909792233,-0.01956069233130895,0.016475737181939905,0.6603955632615967,-0.22025187251915307,-0.6963415068163693,-1.5,0.0,-1.2797481274808469,-2.9777557794024228,-0.03603349336170511,0.1597393035418669,0.6,0.0,0.6360334933617051,2.3836773321035096,-0.21380185214218944,0.11003772353170385,-1.5,0.0,-1.2861981478578106,-6.96315010830326,0.011700299875004027,-0.07740117152440404,-0.6,0.0,-0.611700299875004,-2.7027933592434983,0.21322114895419533,0.9259143433861874,1.6612175027226417,0.0,1.4479963537684464,2.645388045617062,0.27496004137775404,0.6792493172564612,1.8197457392116847,0.0,1.5447856978339307,-0.1676077988356727,0.22606694580305667,-0.08059205295089938,1.6612175197397443,0.0,1.4351505739366877,4.501637071574216,0.24679991443058572,-0.19190791185541706,1.8197457013478735,0.0,1.5729457869172878,1.306332921069325,0.0,8.881784197001252e-16,1.4334522455302068,1.4258416318627107,4,policy_pr_real_ankle_equivalent_ul
32,8,0.16000000000000006,0.5,-0.1,0.0,0.1407645018736542,-0.007751306499057349,0.02553034633132747,0.660333276919465,-0.23449697992193852,-0.6909830810582807,-1.5,0.0,-1.2655030200780615,-2.789908949770779,-0.03304058125228869,0.13613462702224902,0.6,0.0,0.6330405812522887,2.427066920480422,-0.2120247084947804,0.10035140151949583,-1.5,0.0,-1.2879752915052196,-6.874314003970551,0.010054612680770974,-0.08152538378989693,-0.6,0.0,-0.610054612680771,-2.6368635962578226,0.23298823247517067,0.9883541760487669,1.6612175027226417,0.0,1.428229270247471,2.5792473470588617,0.28980990983931754,0.7424934230781749,1.8197457392116847,0.0,1.5299358293723673,-0.28367844582005625,0.22532765553302558,-0.03696451350155422,1.6612175197397443,0.0,1.4358898642067186,4.4305809729337815,0.24328500926859864,-0.17574525809935376,1.8197457013478735,0.0,1.5764606920792748,1.3111412650743222,0.0,8.881784197001252e-16,1.4471106954528101,1.4240677715682193,3,policy_pr_real_ankle_equivalent_ul
36,9,0.18000000000000008,0.5,-0.1,0.0,0.16035514413483834,0.003537491176141139,0.006715345375181169,0.6597946017453105,-0.2470843929099866,-0.5835968965701004,-1.5,0.0,-1.2529156070900134,-3.2088151206365776,-0.03138449158017768,0.053326237853187776,0.6,0.0,0.6313844915801776,2.792759471324289,-0.2104375709094521,0.08804568942211664,-1.5,0.0,-1.2895624290905479,-6.835884047382629,0.008583200329513114,-0.06710419067259844,-0.6,0.0,-0.6085832003295131,-2.6852892743058607,0.24978573508050514,0.8398751302667234,1.6612175027226417,0.0,1.4114317676421366,2.9517996704456775,0.3039225005491739,0.7056295354928188,1.8197457392116847,0.0,1.5158232386625108,-0.3386178586173336,0.22467059619007604,-0.03285296714747726,1.6612175197397443,0.0,1.4365469235496682,4.447934920333342,0.24014728012756373,-0.1568864570517456,1.8197457013478735,0.0,1.5795984212203098,1.2687919998769293,6.280369834735101e-16,4.440892098500626e-16,1.4593282757615593,1.4224887751567439,3,policy_pr_real_ankle_equivalent_ul
