step,time,root_x,root_y,root_z,contact_count,amp_stage,motion_pattern,pitch_amp_current,roll_amp_current,left_pitch_pos,left_pitch_vel,left_pitch_target,left_pitch_target_vel,left_pitch_error,left_pitch_tau,left_pitch_tau_mj,left_pitch_tau_pd,left_pitch_tau_pd_unclipped,left_roll_pos,left_roll_vel,left_roll_target,left_roll_target_vel,left_roll_error,left_roll_tau,left_roll_tau_mj,left_roll_tau_pd,left_roll_tau_pd_unclipped,right_pitch_pos,right_pitch_vel,right_pitch_target,right_pitch_target_vel,right_pitch_error,right_pitch_tau,right_pitch_tau_mj,right_pitch_tau_pd,right_pitch_tau_pd_unclipped,right_roll_pos,right_roll_vel,right_roll_target,right_roll_target_vel,right_roll_error,right_roll_tau,right_roll_tau_mj,right_roll_tau_pd,right_roll_tau_pd_unclipped,left_upper_pos,left_upper_vel,left_upper_target,left_upper_target_vel,left_upper_error,left_upper_tau,left_upper_tau_equiv,left_upper_tau_equiv_from_pd,left_upper_tau_calc_model,left_upper_tau_calc_model_unclipped,left_lower_pos,left_lower_vel,left_lower_target,left_lower_target_vel,left_lower_error,left_lower_tau,left_lower_tau_equiv,left_lower_tau_equiv_from_pd,left_lower_tau_calc_model,left_lower_tau_calc_model_unclipped,right_upper_pos,right_upper_vel,right_upper_target,right_upper_target_vel,right_upper_error,right_upper_tau,right_upper_tau_equiv,right_upper_tau_equiv_from_pd,right_upper_tau_calc_model,right_upper_tau_calc_model_unclipped,right_lower_pos,right_lower_vel,right_lower_target,right_lower_target_vel,right_lower_error,right_lower_tau,right_lower_tau_equiv,right_lower_tau_equiv_from_pd,right_lower_tau_calc_model,right_lower_tau_calc_model_unclipped,left_tau_equiv_residual,right_tau_equiv_residual,left_tau_equiv_pd_residual,right_tau_equiv_pd_residual,left_jacobian_cond,right_jacobian_cond,source
0,0.005,0.0,0.0,1.05,0,small,circle,0.2,0.14,-0.1499999979296005,4.14079897389924e-07,-0.15,0.3141592653589793,-2.07039949073895e-09,-2.080751484445642e-06,-2.080751484445642e-06,-2.080751484403315e-06,-2.080751484403315e-06,0.0004957200918461728,0.09914401836923455,0.14,0.0,0.13950427990815384,0.20180130769459648,0.20180130769459648,0.20180130769459648,0.20180130769459648,-0.1499999979289666,4.142066798212829e-07,-0.14999999999999997,-0.3141592653589793,-2.0710333725748598e-09,-2.0813885659443088e-06,-2.0813885659443088e-06,-2.0813885659692886e-06,-2.0813885659692886e-06,-0.0004957189705739151,-0.09914379411478302,-0.14,-2.693138971210506e-17,-0.1395042810294261,-0.2018024345732154,-0.2018024345732154,-0.20180243457321545,-0.20180243457321545,0.16175607633628725,0.08298557772559906,0.27621795796369475,-0.3632405714765738,0.1144618816274075,0.1207896190883378,0.1207896190883378,0.12078961908833778,-0.2304846608327469,-0.2304846608327469,0.16185941049804986,-0.08281675856489704,0.0433043549383746,-0.3582740180138408,-0.11855505555967527,-0.12055043454789288,-0.12055043454789288,-0.1205504345478929,-0.16856899372871623,-0.16856899372871623,0.1617560753970149,0.08298538979435685,0.2762179579636947,0.3632405714757018,0.1144618825666798,0.12079034386626089,0.12079034386626089,0.12079034386626092,0.23049071326463907,0.23049071326463907,0.1618594114359783,-0.0828165102544931,0.04330435493837457,0.3582740180138408,-0.11855505649760373,-0.12055114643820677,-0.12055114643820677,-0.12055114643820679,-0.16856632677614986,-0.16856632677614986,5.327837238229549e-18,2.816413556209985e-17,4.048817487875556e-18,2.896858466424048e-17,1.3645876909269703,1.3645882565753815,suspended_pr_ankle_pitch_roll_pd
4,0.025,0.0,0.0,1.05,0,small,circle,0.2,0.14,-0.14993444833425612,0.005537105936438107,-0.14371784818437433,0.31400424672597854,0.00621660014988179,0.0033974710672184383,0.0033974710672184383,0.003397471067218414,0.003397471067218414,0.0031864884283211888,0.13742383707264827,0.13993091845120242,-0.006907586697446872,0.13674443002288122,-0.0033970352488351674,-0.0033970352488351674,-0.0033970352488351674,-0.0033970352488351674,-0.1500655409416419,-0.0055371227421691935,-0.1562821518156256,-0.31400424672597854,-0.006216610873983702,-0.003397440659072548,-0.003397440659072548,-0.0033974406590725446,-0.0033974406590725446,-0.003186485665267152,-0.13742379135290556,-0.13993091845120242,0.006907586697446807,-0.13674443278593526,0.003396792834851392,0.003396792834851392,0.003396792834851392,0.003396792834851392,0.16393279533596658,0.10863330979857033,0.2689181415975748,-0.3666809847393647,0.10498534626160824,-0.003521399500033349,-0.003521399500033349,-0.0035213995000333382,5.939219982427088e-06,5.939219982427088e-06,0.15953611477275143,-0.1211967054577478,0.03621521168815611,-0.3505833910192601,-0.12332090308459531,0.0005402801857676724,0.0005402801857676724,0.000540280185767683,0.00568136604246115,0.00568136604246115,0.1640822470782382,0.12125964230074651,0.2834453440095432,0.35943745795706955,0.11936309693130498,-0.0005445767175165286,-0.0005445767175165286,-0.0005445767175165299,-5.686390504767617e-06,-5.686390504767617e-06,0.15968581928203543,-0.10855163726336979,0.05054385836149761,0.3656175172708328,-0.10914196092053782,0.003518628880456883,0.003518628880456883,0.0035186288804568812,0.005681194946528659,0.005681194946528659,6.133173666733497e-19,4.336808689942018e-19,4.336808689942018e-19,0.0,1.3644996755737784,1.3646237077806118,suspended_pr_ankle_pitch_roll_pd
8,0.045,0.0,0.0,1.05,0,small,circle,0.2,0.14,-0.14974705318080223,0.011656538027181354,-0.13744189609413732,0.3135393438116514,0.012305157086664908,0.0032430952974178417,0.0032430952974178417,0.0032430952974177724,0.0032430952974177724,0.005903945285138876,0.1347965499527127,0.13972374197995804,-0.013808356440786413,0.13381979669481917,-0.004883766289467628,-0.004883766289467628,-0.004883766289467739,-0.004883766289467739,-0.1502529406386499,-0.011656824929833394,-0.16255810390586267,-0.3135393438116514,-0.01230516326721276,-0.003241691686896808,-0.003241691686896808,-0.003241691686896829,-0.003241691686896829,-0.0059039417423656605,-0.13479651451080796,-0.13972374197995804,0.013808356440786408,-0.13381980023759238,0.004883571366077866,0.004883571366077866,0.004883571366077977,0.004883571366077977,0.165991301358802,0.09937727499999946,0.2615531139509085,-0.3697622500060193,0.09556181259210653,-0.004344344387748394,-0.004344344387748394,-0.00434434438774843,0.0018779248248020192,0.0018779248248020192,0.1570498069626318,-0.12606416279096166,0.029283257497229327,-0.3425570382661634,-0.12776654946540247,0.0014975110439001938,0.0014975110439001938,0.0014975110439002905,0.006795928975630545,0.006795928975630545,0.1665681280366399,0.1259641997295042,0.2905930111837554,0.3552680717838359,0.12402488314711552,-0.0015012256220080964,-0.0015012256220080964,-0.0015012256220081537,-0.001879971875547469,-0.001879971875547469,0.15762741764503227,-0.09945020566951009,0.057926667316393225,0.37260277334456615,-0.09970075032863904,0.00433784806222892,0.00433784806222892,0.0043378480622289954,0.006794862480073693,0.006794862480073693,8.673617379884035e-19,0.0,4.336808689942018e-19,0.0,1.3643081269578672,1.3647859961802704,suspended_pr_ankle_pitch_roll_pd
12,0.06499999999999999,0.0,0.0,1.05,0,small,circle,0.2,0.14,-0.14943876291891026,0.017652654776858286,-0.13117833733629713,0.3127650154190458,0.01826042558261312,0.0030388540287741295,0.0030388540287741295,0.003038854028774171,0.003038854028774171,0.008562407306445814,0.1317882863371034,0.13937867504443122,-0.020695499003421974,0.1308162677379854,-0.004860092995589982,-0.004860092995589982,-0.004860092995589982,-0.004860092995589982,-0.15056123672456567,-0.01765293522513858,-0.16882166266370283,-0.3127650154190458,-0.018260425939137154,-0.003037453569992854,-0.003037453569992854,-0.003037453569992868,-0.003037453569992868,-0.008562403222343484,-0.1317882647102153,-0.13937867504443122,0.02069549900342193,-0.13081627182208774,0.004859964440637854,0.004859964440637854,0.004859964440637743,0.004859964440637743,0.1678610552285317,0.08994890575329105,0.2541300195053614,-0.3724883246474778,0.0862689642768297,-0.004241522610973165,-0.004241522610973165,-0.004241522610973183,0.0020819085237861854,0.0020819085237861854,0.1544733793516237,-0.13045989436329827,0.022515088802700554,-0.3342068215751173,-0.13195829054892314,0.0015739639347235096,0.0015739639347235096,0.0015739639347234912,0.006606335245594418,0.006606335245594418,0.16914112511605758,0.13022119325490517,0.2976536087688194,0.35072984492562215,0.12851248365276183,-0.0015754693710064542,-0.0015754693710064542,-0.0015754693710063811,-0.0020850150196161685,-0.0020850150196161685,0.15575479289996602,-0.09016483101130843,0.06544550892831136,0.3792190351055877,-0.09030928397165466,0.004233433405843974,0.004233433405843974,0.004233433405843913,0.006605636229074347,0.006605636229074347,4.336808689942018e-19,8.673617379884035e-19,0.0,0.0,1.3640160233863288,1.3650754870542723,suspended_pr_ankle_pitch_roll_pd
16,0.085,0.0,0.0,1.05,0,small,circle,0.2,0.14,-0.14901223788001794,0.023513192118330008,-0.12493335328713914,0.3116820257167996,0.024078884592878796,0.002828462372743923,0.002828462372743923,0.0028284623727439506,0.0028284623727439506,0.011159698583036037,0.1287008249520951,0.13889605818402692,-0.027562217607139037,0.1277363596009909,-0.004822326755520967,-0.004822326755520967,-0.004822326755521078,-0.004822326755521078,-0.1509877666357033,-0.023513411240170937,-0.17506664671286085,-0.3116820257167996,-0.024078880077157555,-0.0028273441849330228,-0.0028273441849330228,-0.002827344184933092,-0.002827344184933092,-0.011159694250953013,-0.12870081796845487,-0.13889605818402692,0.027562217607139044,-0.12773636393307392,0.0048222701769048415,0.0048222701769048415,0.0048222701769047305,0.0048222701769047305,0.16954340611157262,0.08061661074119028,0.24665592198675534,-0.37486329055691325,0.07711251587518272,-0.004127544440397448,-0.004127544440397448,-0.004127544440397527,0.002276665063191112,0.002276665063191112,0.1518119502380703,-0.13462093719850854,0.01591706265542589,-0.3255448401570283,-0.1358948875826444,0.001644488692419241,0.001644488692419241,0.0016444886924192952,0.0063999242793663395,0.0063999242793663395,0.17179664433755767,0.13427124127031365,0.3046197310979157,0.3458203562634943,0.132823086760358,-0.001644077755647781,-0.001644077755647781,-0.0016440777556476845,-0.0022810745315773994,-0.0022810745315773994,0.15406687859990634,-0.08095942292409711,0.07309289965208506,0.38545603829172675,-0.08097397894782128,0.004118078373798905,0.004118078373798905,0.004118078373798869,0.006399920998544129,0.006399920998544129,0.0,0.0,9.69739903612216e-19,8.673617379884035e-19,1.3636237335710215,1.3654881468446685,suspended_pr_ankle_pitch_roll_pd
20,0.10500000000000002,0.0,0.0,1.05,0,small,circle,0.2,0.14,-0.14847024134782852,0.029234131715908655,-0.11871310699195381,0.3102914434849979,0.02975713435587471,0.002615013199830263,0.002615013199830263,0.002615013199830263,0.002615013199830263,0.013694300021205395,0.12553837701579348,0.1382763676833193,-0.03440173562970471,0.12458206766211391,-0.004781546768397926,-0.004781546768397926,-0.004781546768397926,-0.004781546768397926,-0.15152976670376248,-0.02923428356096916,-0.18128689300804615,-0.3102914434849979,-0.029757126304283676,-0.0026142137165725554,-0.0026142137165725554,-0.002614213716572583,-0.002614213716572583,-0.013694295715026313,-0.12553838300423678,-0.1382763676833193,0.03440173562970467,-0.12458207196829299,0.00478155517971901,0.00478155517971901,0.00478155517971901,0.00478155517971901,0.1710404086134898,0.07139025646334489,0.2391377997640633,-0.3768915293610777,0.0680973911505735,-0.004010368291651802,-0.004010368291651802,-0.004010368291651802,0.0024712694769952787,0.0024712694769952787,0.14907023063264044,-0.13854516014547272,0.009495290431915644,-0.3165835390664399,-0.1395749402007248,0.0017143778931304886,0.0017143778931304886,0.0017143778931304886,0.006188555458765803,0.006188555458765803,0.17453056107912426,0.1381149594438359,0.3114839256226563,0.34053706072494905,0.13695336454353205,-0.0017123927626246963,-0.0017123927626246963,-0.0017123927626246842,-0.002477591478919035,-0.002477591478919035,0.15256198443485222,-0.07184011206188334,0.08086115314087845,0.39130372752539694,-0.07170083129397377,0.003999673374936539,0.003999673374936539,0.003999673374936551,0.006189342849826029,0.006189342849826029,4.336808689942018e-19,0.0,4.336808689942018e-19,0.0,1.3631338548215564,1.3660202779516641,suspended_pr_ankle_pitch_roll_pd
24,0.12500000000000003,0.0,0.0,1.05,0,small,circle,0.2,0.14,-0.14781560976830446,0.03481194360436332,-0.11252373708285507,0.3085946410604164,0.035291872685449394,0.0023996454054302507,0.0023996454054302507,0.0023996454054303618,0.0023996454054303618,0.01616473811955513,0.12230304526177725,0.13752021510201642,-0.04120730329257573,0.1213554769824613,-0.004737841396579734,-0.004737841396579734,-0.004737841396579734,-0.004737841396579734,-0.1521844005550697,-0.03481203548189513,-0.18747626291714486,-0.3085946410604164,-0.035291862362075155,-0.002399134400900227,-0.002399134400900227,-0.002399134400900116,-0.002399134400900116,-0.016164734069017018,-0.12230306179449531,-0.13752021510201642,0.041207303292575666,-0.12135548103299941,0.0047379038074795155,0.0047379038074795155,0.0047379038074795155,0.0047379038074795155,0.1723542737259454,0.062277449311431574,0.23158254164340866,-0.3785776421503908,0.05922826791746327,-0.0038905219971486177,-0.0038905219971486177,-0.0038905219971486667,0.00266448447118504,0.00266448447118504,0.14625299719747178,-0.14222926521909654,0.0032556318443488236,-0.30733563722339297,-0.14299736535312296,0.0017832077201663,0.0017832077201663,0.0017832077201662517,0.005973257746387216,0.005973257746387216,0.17733873741351772,0.14175161683121307,0.31823870162993134,0.33487816285876887,0.14089996421641363,-0.0017799630497311164,-0.0017799630497311164,-0.001779963049731165,-0.0026734836715831775,-0.0026734836715831775,0.15123833562231162,-0.06281086590419993,0.08874238838575826,0.39675259842040245,-0.062495947236553356,0.0038787675754216075,0.0038787675754216075,0.003878767575421559,0.005974849842310979,0.005974849842310979,9.69739903612216e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,1.362547698081758,1.3666694307344005,suspended_pr_ankle_pitch_roll_pd
28,0.14500000000000005,0.0,0.0,1.05,0,small,circle,0.2,0.14,-0.14705124783694107,0.040243273605396576,-0.10637135172069148,0.30659329298219085,0.040679896116249586,0.0021831125542649543,0.0021831125542649543,0.0021831125542650376,0.0021831125542650376,0.018569582294811097,0.1189970084769954,0.13662834667142465,-0.047972204322115006,0.11805876437661356,-0.004691220501909177,-0.004691220501909177,-0.004691220501909177,-0.004691220501909177,-0.1529487636907694,-0.04024331621131485,-0.1936286482793085,-0.30659329298219085,-0.040679884588539106,-0.0021828418861212784,-0.0021828418861212784,-0.0021828418861212784,-0.0021828418861212784,-0.01856957867774157,-0.11899703290191595,-0.13662834667142465,0.047972204322115,-0.11805876799368308,0.004691324541164388,0.004691324541164388,0.004691324541164388,0.004691324541164388,0.17348735862902465,0.05328528890863696,0.22399694323947775,-0.37992636167649013,0.0505095846104531,-0.0037683189250218674,-0.0037683189250218674,-0.0037683189250219047,0.002855420075220226,0.002855420075220226,0.1433650862074545,-0.1456704277757747,-0.0027963106684885594,-0.29781411434584937,-0.14616139687594307,0.0018506820601623785,0.0018506820601623785,0.0018506820601623423,0.005754669280317526,0.005754669280317526,0.18021702139014506,0.1451805145608473,0.3248765396142289,0.3288429033841942,0.14465951822408385,-0.0018464370363564812,-0.0018464370363564812,-0.0018464370363564812,-0.002867964272878532,-0.002867964272878532,0.1500940764684001,-0.05387586095636206,0.09672853805897239,0.40179363855556616,-0.053365538409427704,0.0037557121479223246,0.0037557121479223246,0.0037557121479223246,0.005757048166015015,0.005757048166015015,8.673617379884035e-19,0.0,4.336808689942018e-19,0.0,1.3618682717647228,1.367431494780888,suspended_pr_ankle_pitch_roll_pd
32,0.16500000000000006,0.0,0.0,1.05,0,small,circle,0.2,0.14,-0.1461801257345661,0.045524893013212095,-0.10026202256702904,0.30428937433924863,0.045918103167537055,0.0019660507716248166,0.0019660507716248166,0.001966050771624789,0.001966050771624789,0.020907446664732945,0.11562253520331946,0.13560164255800836,-0.05468976257774277,0.11469419589327541,-0.004641696550220287,-0.004641696550220287,-0.004641696550220287,-0.004641696550220287,-0.15381988614839082,-0.04552489717420752,-0.19973797743297092,-0.3042893743392487,-0.045918091284580104,-0.0019659705518629833,-0.0019659705518629833,-0.001965970551862928,-0.001965970551862928,-0.02090744360634914,-0.11562256493227835,-0.13560164255800838,0.054689762577742725,-0.11469419895165925,0.0046418299030954735,0.0046418299030954735,0.0046418299030955845,0.0046418299030955845,0.17444216221985798,0.04442081148960363,0.21638770390688936,-0.38094256199491505,0.04194554168703138,-0.0036440188277688792,-0.0036440188277688792,-0.003644018827768867,0.0030433246146841265,0.0030433246146841265,0.14041138600844105,-0.14886622058250665,-0.008655197121383917,-0.2880322569657535,-0.14906658312982496,0.0019165543211543579,0.0019165543211543579,0.00191655432115437,0.005533336253304627,0.005533336253304627,0.18316124771903142,0.1484011086142177,0.33138990138788943,0.3224306021714982,0.148228653668858,-0.0019115135204872073,-0.0019115135204872073,-0.0019115135204872977,-0.003060370448986412,-0.003060370448986412,0.14912726807208804,-0.045039237597067495,0.10481135713813945,0.4064180027966091,-0.044315910933948585,0.0036308107176628818,0.0036308107176628818,0.003630810717662924,0.005536460289305004,0.005536460289305004,4.336808689942018e-19,0.0,4.336808689942018e-19,0.0,1.361097257715394,1.368300821391268,suspended_pr_ankle_pitch_roll_pd
36,0.18500000000000008,0.0,0.0,1.05,0,small,circle,0.2,0.14,-0.14520527675898515,0.05065368940740748,-0.09420177879215413,0.30168515882113506,0.05100349796683101,0.0017490427971176281,0.0017490427971176281,0.0017490427971176836,0.0017490427971176836,0.0231769918126859,0.11218198123104044,0.13444111599477204,-0.061353348640481364,0.11126412418208614,-0.004589285244771535,-0.004589285244771535,-0.004589285244771424,-0.004589285244771424,-0.1547947348351466,-0.05065366495173894,-0.20579822120784586,-0.30168515882113506,-0.05100348637269925,-0.0017491071048016948,-0.0017491071048016948,-0.0017491071048015283,-0.0017491071048015283,-0.023176989389416817,-0.1121820139327988,-0.13444111599477204,0.061353348640481364,-0.11126412660535523,0.004589436637217781,0.004589436637217781,0.004589436637217781,0.004589436637217781,0.1752213209673388,0.03569074148882468,0.2087614242321296,-0.38163123778081787,0.03354010326479079,-0.0035178696588085115,-0.0035178696588085115,-0.0035178696588084694,0.003227518539147854,0.003227518539147854,0.13739682996868896,-0.1518145199067956,-0.014315954741346806,-0.2780034869350248,-0.15171278471003577,0.0019806028052394334,0.0019806028052394334,0.001980602805239343,0.005309756899458918,0.005309756899458918,0.1861672380851468,0.15141228871008072,0.3377712408783307,0.3156407927599436,0.15160400279318392,-0.00197491439959952,-0.00197491439959952,-0.0019749143995995925,-0.003250074510511024,-0.003250074510511024,0.14833588573232676,-0.03630542293826845,0.11298243171903444,0.4106178089987977,-0.03535345401329232,0.003504359403695765,0.003504359403695765,0.003504359403695692,0.0053135606370940044,0.0053135606370940044,2.168404344971009e-19,8.940560153363745e-19,2.168404344971009e-19,0.0,1.3602362360058824,1.3692791592869138,suspended_pr_ankle_pitch_roll_pd
