step,time,root_x,root_y,root_z,contact_count,amp_stage,motion_pattern,pitch_amp_current,roll_amp_current,left_pitch_pos,left_pitch_vel,left_pitch_target,left_pitch_target_vel,left_pitch_error,left_pitch_tau,left_pitch_tau_mj,left_pitch_tau_pd,left_pitch_tau_pd_unclipped,left_roll_pos,left_roll_vel,left_roll_target,left_roll_target_vel,left_roll_error,left_roll_tau,left_roll_tau_mj,left_roll_tau_pd,left_roll_tau_pd_unclipped,right_pitch_pos,right_pitch_vel,right_pitch_target,right_pitch_target_vel,right_pitch_error,right_pitch_tau,right_pitch_tau_mj,right_pitch_tau_pd,right_pitch_tau_pd_unclipped,right_roll_pos,right_roll_vel,right_roll_target,right_roll_target_vel,right_roll_error,right_roll_tau,right_roll_tau_mj,right_roll_tau_pd,right_roll_tau_pd_unclipped,left_upper_pos,left_upper_vel,left_upper_target,left_upper_target_vel,left_upper_error,left_upper_tau,left_upper_tau_equiv,left_upper_tau_equiv_from_pd,left_upper_tau_calc_model,left_upper_tau_calc_model_unclipped,left_lower_pos,left_lower_vel,left_lower_target,left_lower_target_vel,left_lower_error,left_lower_tau,left_lower_tau_equiv,left_lower_tau_equiv_from_pd,left_lower_tau_calc_model,left_lower_tau_calc_model_unclipped,right_upper_pos,right_upper_vel,right_upper_target,right_upper_target_vel,right_upper_error,right_upper_tau,right_upper_tau_equiv,right_upper_tau_equiv_from_pd,right_upper_tau_calc_model,right_upper_tau_calc_model_unclipped,right_lower_pos,right_lower_vel,right_lower_target,right_lower_target_vel,right_lower_error,right_lower_tau,right_lower_tau_equiv,right_lower_tau_equiv_from_pd,right_lower_tau_calc_model,right_lower_tau_calc_model_unclipped,left_tau_equiv_residual,right_tau_equiv_residual,left_tau_equiv_pd_residual,right_tau_equiv_pd_residual,left_jacobian_cond,right_jacobian_cond,source
0,0.005,0.0,0.0,1.05,0,constant,circle,0.2,0.58,-0.14999998505174914,2.989650174383303e-06,-0.15,0.22619467105846514,-1.4948250859347922e-08,-4.5592165158758746e-05,-4.5592165158758746e-05,-4.5592165158716943e-05,-4.5592165158716943e-05,0.008499196603030395,1.699839320606079,0.58,0.0,0.5715008033969695,3.077450360757293,3.077450360757293,3.0774503607572896,3.0774503607572896,-0.1499999850470957,2.990580857991053e-06,-0.14999999999999997,-0.22619467105846514,-1.4952904275888912e-08,-4.560635808292801e-05,-4.560635808292801e-05,-4.560635808366024e-05,-4.560635808366024e-05,-0.008499188647049034,-1.6998377294098066,-0.58,-8.033248816982194e-17,-0.5715008113529509,-3.0774746265004467,-3.0774746265004467,-3.0774746265004502,-3.0774746265004502,0.16844813713540466,1.4198093097433668,0.5927409731368345,-0.297127432954521,0.42429283600142986,1.84117533379003,1.84117533379003,1.841175333790028,-3.513161988883514,-3.513161988883514,0.15516684560990218,-1.4229294003864843,-0.3512856937706643,-0.2844229317237314,-0.5064525393805666,-1.8392010522774689,-1.8392010522774689,-1.8392010522774669,-2.576154565035816,-2.576154565035816,0.1684481304875601,1.4198082185976864,0.5927409731368344,0.29712743295452104,0.42429284264927425,1.841189753343497,1.841189753343497,1.8411897533434998,3.513293696487564,3.513293696487564,0.15516685226513208,-1.422927907993992,-0.3512856937706644,0.28442293172373134,-0.5064525460357965,-1.8392155518159448,-1.8392155518159448,-1.8392155518159468,-2.5760984106643927,-2.5760984106643927,4.450525418459901e-16,4.457365091826164e-16,4.501242210619423e-16,1.3330265710709277e-16,1.3645453312846565,1.364545334104649,suspended_pr_ankle_pitch_roll_pd
4,0.025,0.0,0.0,1.05,0,constant,circle,0.2,0.58,-0.14982517496288805,0.014178452866128954,-0.14547649233665405,0.22613680837180988,0.004348682626234002,0.004757338319765658,0.004757338319765658,0.004757338319765769,0.004757338319765769,0.04557897353392587,1.8153762080393232,0.5798516306414161,-0.01483630325514426,0.5342726571074903,-0.5170102652153368,-0.5170102652153368,-0.5170102652153332,-0.5170102652153332,-0.15017478079528584,-0.014179317946150615,-0.15452350766334594,-0.22613680837180988,-0.004348726868060093,-0.004746574210744647,-0.004746574210744647,-0.004746574210745452,-0.004746574210745452,-0.04557896386092944,-1.8153762365090373,-0.5798516306414161,0.014836303255144248,-0.5342726667804867,0.5170102086112252,0.5170102086112252,0.5170102086112252,0.5170102086112252,0.19906403175230827,1.4846837290512478,0.5867247373987952,-0.304460380946808,0.3876607056464869,-0.31086260085959605,-0.31086260085959605,-0.31086260085959405,0.5837554967431078,0.5837554967431078,0.12377937448460127,-1.5502302980077436,-0.356831790319904,-0.2701430888467247,-0.4806111648045053,0.3076756003498717,0.3076756003498717,0.30767560034986957,0.44082949141609884,0.44082949141609884,0.1994638079220711,1.5171691421586213,0.5986082284059915,0.2895578805054871,0.3991444204839204,-0.3066427909936937,-0.3066427909936937,-0.30664279099369335,-0.5839181162063297,-0.5839181162063297,0.12417784578955057,-1.517930152204116,-0.34545647522821454,0.298457307817979,-0.46963432101776514,0.31178757646540284,0.31178757646540284,0.31178757646540317,0.4408266920662926,0.4408266920662926,1.1223875381922366e-16,1.0408340855860843e-17,8.673617379884035e-19,2.6020852139652106e-17,1.3656170660201954,1.3659460941352353,suspended_pr_ankle_pitch_roll_pd
8,0.045,0.0,0.0,1.05,0,constant,circle,0.2,0.58,-0.14936757196270298,0.02798411476180218,-0.14095529898341347,0.22596324991546385,0.008412272979289509,0.000851927537442343,0.000851927537442343,0.0008519275374427315,0.0008519275374427315,0.08037993357492969,1.6957045454400559,0.5794065984741699,-0.029665015983399826,0.4990266648992402,-0.4842349366388312,-0.4842349366388312,-0.4842349366388312,-0.4842349366388312,-0.15063241257938695,-0.027985661722567147,-0.15904470101658652,-0.22596324991546385,-0.008412288437199572,-0.000829496021472309,-0.000829496021472309,-0.0008294960214714209,-0.0008294960214714209,-0.0803799245062566,-1.695704577426526,-0.5794065984741699,0.02966501598339988,-0.4990266739679133,0.48423496300222624,0.48423496300222624,0.48423496300222624,0.48423496300222624,0.22716565787611556,1.355409162999626,0.5805640693818854,-0.3115689270150715,0.3533984115057699,-0.2892376166674761,-0.2892376166674761,-0.28923761666747627,0.5503697010844764,0.5503697010844764,0.09372608707357098,-1.4767640554867691,-0.3620898694837246,-0.2556250094186771,-0.4558159565572956,0.2905408112907178,0.2905408112907178,0.2905408112907176,0.4133113001540925,0.4133113001540925,0.22861674544131155,1.4198904465070041,0.6043216329635204,0.28174041055160987,0.3757048875222088,-0.2884414959008057,-0.2884414959008057,-0.2884414959008061,-0.5508972852910982,-0.5508972852910982,0.09516688954507402,-1.4130163850593904,-0.33934905947523203,0.31224155148177024,-0.43451594902030605,0.29124991703103414,0.29124991703103414,0.29124991703103376,0.4132954317730972,0.4132954317730972,5.56334128533841e-17,5.719338593634498e-17,6.158611915328967e-17,1.496198998029996e-17,1.36850195125841,1.3696877952817033,suspended_pr_ankle_pitch_roll_pd
12,0.06499999999999999,0.0,0.0,1.05,0,constant,circle,0.2,0.58,-0.14864533164244692,0.04087792505981833,-0.13643873306633986,0.22567408448514026,0.012206598576107064,-0.002838947091921007,-0.002838947091921007,-0.002838947091921784,-0.002838947091921784,0.11287256643408589,1.5828139599539721,0.5786651311849412,-0.04447855154133182,0.46579256475085534,-0.45258116176681185,-0.45258116176681185,-0.45258116176681185,-0.45258116176681185,-0.15135468112911926,-0.04087921379340243,-0.1635612669336601,-0.22567408448514026,-0.012206585804540843,0.0028589166739934058,0.0028589166739934058,0.002858916673994405,0.002858916673994405,-0.11287255810169577,-1.5828139997907429,-0.5786651311849412,0.04447855154133164,-0.46579257308324545,0.45258134269886696,0.45258134269886696,0.4525813426988705,0.4525813426988705,0.25278620949647296,1.2346295843289792,0.5742634111328532,-0.3184619504839759,0.3214772016363802,-0.26855765535717563,-0.26855765535717563,-0.26855765535717524,0.518464970887018,0.518464970887018,0.06511429405385148,-1.4051849137645978,-0.36705528181290237,-0.240877938616168,-0.43216957586675386,0.27391313481298435,0.27391313481298435,0.2739131348129847,0.38618651082181665,0.38618651082181665,0.2559067697750074,1.32945074656725,0.6098761494693843,0.27366734941918075,0.35396937969437686,-0.2710130348918417,-0.2710130348918417,-0.27101303489184425,-0.5194799165250555,-0.5194799165250555,0.06820145087990205,-1.311923363003265,-0.33296852879366956,0.3257685871367604,-0.4011699796735716,0.2714872560482717,0.2714872560482717,0.2714872560482734,0.38613960887964666,0.38613960887964666,2.3852447794681098e-17,1.3877787807814457e-17,5.991705756259507e-17,6.071532165918825e-18,1.3728272191368582,1.3753554021508878,suspended_pr_ankle_pitch_roll_pd
16,0.085,0.0,0.0,1.05,0,constant,circle,0.2,0.58,-0.14767606375588782,0.05291004418110153,-0.13192910534401286,0.22526946002321646,0.015746958411874956,-0.006302742122775484,-0.006302742122775484,-0.006302742122775151,-0.006302742122775151,0.1431879579287295,1.4763153607940644,0.5776276081220962,-0.05926933105042613,0.4344396501933667,-0.42274790224263015,-0.42274790224263015,-0.42274790224263015,-0.42274790224263015,-0.15232396974841672,-0.05291092720704915,-0.16807089465598707,-0.22526946002321646,-0.015746924907570348,0.006317662727219897,0.006317662727219897,0.006317662727219897,0.006317662727219897,-0.14318795048590058,-1.4763154078376848,-0.5776276081220962,0.05926933105042601,-0.43443965763619563,0.4227482357554919,0.4227482357554919,0.42274823575548837,0.42274823575548837,0.2760893615327968,1.1218208733157535,0.567826950846197,-0.32515100863160123,0.29173758931340027,-0.24919735566160836,-0.24919735566160836,-0.24919735566160853,0.4886833206758446,0.4886833206758446,0.037902668977896084,-1.3358238462705259,-0.3717235098614227,-0.22590868785851959,-0.4096261788393188,0.2581836714436922,0.2581836714436922,0.25818367144369203,0.36021431405450605,0.36021431405450605,0.2814660214509603,1.2454563666095413,0.6152665435361513,0.26532699723126124,0.333800522085191,-0.2547112810284484,-0.2547112810284484,-0.25471128102844626,-0.4902734127234914,-0.4902734127234914,0.043203981272482594,-1.214778323345111,-0.32632007327576057,0.33903354481365766,-0.36952405454824316,0.25289570530415134,0.25289570530415134,0.2528957053041492,0.3600977391364201,0.3600977391364201,5.594315114139762e-17,5.557210413939996e-17,5.790573482681623e-17,8.239936510889834e-17,1.3782811979584269,1.3825947197327,suspended_pr_ankle_pitch_roll_pd
20,0.10500000000000002,0.0,0.0,1.05,0,constant,circle,0.2,0.58,-0.1464763947809539,0.06412871193865022,-0.12742872302530367,0.22474958354304375,0.019047671755650225,-0.009547091297242183,-0.009547091297242183,-0.00954709129724196,-0.00954709129724196,0.17144871819946372,1.3757939319003463,0.5762945601016048,-0.0740297872745837,0.4048458419021411,-0.3946168833981396,-0.3946168833981396,-0.39461688339813605,-0.39461688339813605,-0.15352365156797027,-0.06412921731981913,-0.17257127697469632,-0.22474958354304375,-0.019047625406726054,0.009556989460984155,0.009556989460984155,0.009556989460984266,0.009556989460984266,-0.17144871176495638,-1.3757939840479778,-0.5762945601016048,0.07402978727458367,-0.4048458483366485,0.3946173438872478,0.3946173438872478,0.39461734388724423,0.39461734388724423,0.2972280154800083,1.0164616833903215,0.5612586568914552,-0.3316471521113516,0.26403064141144683,-0.23104382150706232,-0.23104382150706232,-0.23104382150706032,0.46079041496881745,0.46079041496881745,0.012045403788773095,-1.2688500283254511,-0.3760902139428941,-0.21072715173124287,-0.3881356177316672,0.24327269388456435,0.24327269388456435,0.24327269388456213,0.33541032904755463,0.33541032904755463,0.3054180764036039,1.1674760056016775,0.6204873935425307,0.25671127290060614,0.3150693171389268,-0.23942184692684843,-0.23942184692684843,-0.23942184692684634,-0.4630099592353589,-0.4630099592353589,0.02009595809510939,-1.1215978963416715,-0.31940897806596036,0.35203147700201864,-0.33950493616106975,0.23538363377134683,0.23538363377134683,0.23538363377134464,0.335178739350664,0.335178739350664,1.734723475976807e-17,1.734723475976807e-17,5.575456304969596e-17,2.6020852139652106e-17,1.3846015578695603,1.3911027676078604,suspended_pr_ankle_pitch_roll_pd
24,0.12500000000000003,0.0,0.0,1.05,0,constant,circle,0.2,0.58,-0.14506202231823387,0.07457927618571496,-0.12293988858896393,0.22411472102303562,0.022122133729269938,-0.012582456322227209,-0.012582456322227209,-0.012582456322227431,-0.012582456322227431,0.19776950779144534,1.2808623702211122,0.5746666691354664,-0.08875236849165843,0.37689716134402107,-0.36807748611563085,-0.36807748611563085,-0.36807748611563085,-0.36807748611563085,-0.15493803018734426,-0.07457947512383165,-0.17706011141103606,-0.22411472102303562,-0.022122081223691803,0.012588065672884952,0.012588065672884952,0.01258806567288473,0.01258806567288473,-0.19776950243770605,-1.2808624250972587,-0.5746666691354664,0.08875236849165846,-0.3768971666977603,0.36807804157086466,0.36807804157086466,0.36807804157086466,0.36807804157086466,0.31634517010647656,0.9180736899934776,0.5545622776842918,-0.33796135753347434,0.23821710757781522,-0.21399501162406673,-0.21399501162406673,-0.21399501162406664,0.43458960289211535,0.43458960289211535,-0.012505784912151308,-1.2043481181680453,-0.3801512475242554,-0.1953433779202473,-0.36764546261210407,0.22911299287291279,0.22911299287291279,0.2291129928729129,0.31176685091309936,0.31176685091309936,0.3278780736329675,1.0950921975864285,0.6255331011944623,0.24781147689977975,0.29765502756149476,-0.2250467276599148,-0.2250467276599148,-0.22504672765991465,-0.4374659623878832,-0.4374659623878832,-0.0012010022687106159,-1.032353043323489,-0.31224061217325355,0.3647595229549508,-0.31103960990454294,0.21886817711320816,0.21886817711320816,0.21886817711320822,0.3113740929079847,0.3113740929079847,1.1107649934270853e-16,5.815852873680767e-17,5.682377955034956e-17,1.0408340855860843e-17,1.3915641472168365,1.4006170581249846,suspended_pr_ankle_pitch_roll_pd
28,0.14500000000000005,0.0,0.0,1.05,0,constant,circle,0.2,0.58,-0.1434477731405346,0.08430420980797773,-0.11846489860563547,0.22336519727058812,0.02498287453489914,-0.015419420374708892,-0.015419420374708892,-0.015419420374708892,-0.015419420374708892,0.22225756553611095,1.1911591036002924,0.5727447680827791,-0.10342954235705762,0.3504872025466681,-0.34302642667098127,-0.34302642667098127,-0.34302642667098127,-0.34302642667098127,-0.15655228034598662,-0.0843041780523913,-0.18153510139436446,-0.22336519727058818,-0.024982821048377846,0.015421618366977086,0.015421618366977086,0.015421618366977308,0.015421618366977308,-0.22225756128885993,-1.1911591589230128,-0.5727447680827792,0.10342954235705741,-0.35048720679391926,0.3430270441492276,0.3430270441492276,0.3430270441492276,0.3430270441492276,0.3335746864527566,0.8262043916402924,0.5477413428834893,-0.3441045139597948,0.21416665643073268,-0.19796032535463542,-0.19796032535463542,-0.19796032535463542,0.4099128981613116,0.4099128981613116,-0.03580020477223782,-1.1423401525304462,-0.3839026728626368,-0.1797681983816741,-0.34810246809039896,0.21564792433390176,0.21564792433390176,0.21564792433390176,0.2892610094857679,0.2892610094857679,0.3489529781709335,1.0278981972757635,0.6303979047853218,0.2386195351204267,0.28144492661438825,-0.21150140041186893,-0.21150140041186893,-0.21150140041186902,-0.41345254333760695,-0.41345254333760695,-0.02076437830259384,-0.9469821813414718,-0.30482041777052604,0.3772138160536774,-0.28405603946793223,0.20327521240152518,0.20327521240152518,0.20327521240152507,0.2886637096840164,0.2886637096840164,8.673617379884035e-18,1.734723475976807e-18,8.673617379884035e-18,5.682377955034956e-17,1.3989846428085626,1.410912672483574,suspended_pr_ankle_pitch_roll_pd
32,0.16500000000000006,0.0,0.0,1.05,0,constant,circle,0.2,0.58,-0.14164765887409256,0.09334326185448949,-0.11400604256288202,0.22250139575590278,0.027641616311210537,-0.018068112256815816,-0.018068112256815816,-0.018068112256815372,-0.018068112256815372,0.24501320201468257,1.1063466125187464,0.5705298402236343,-0.11805379975742872,0.3255166382089517,-0.3193672773336118,-0.3193672773336118,-0.3193672773336118,-0.3193672773336118,-0.15835239184743533,-0.09334306757185677,-0.1859939574371179,-0.22250139575590278,-0.027641565589682587,0.0180677340937212,0.0180677340937212,0.01806773409372231,0.01806773409372231,-0.24501319885737,-1.106346666294137,-0.5705298402236343,0.11805379975742858,-0.3255166413662643,0.3193679260988418,0.3193679260988418,0.3193679260988418,0.3193679260988418,0.34904194067631844,0.7404652742275998,0.5407991658324225,-0.35008735609769476,0.19175722515610405,-0.18285488419993706,-0.18285488419993706,-0.18285488419993726,0.38661508087038826,0.38661508087038826,-0.05788713160826858,-1.0828035122740771,-0.3873407767468735,-0.16401323471248228,-0.3294536451386049,0.20282511785243326,0.20282511785243326,0.2028251178524331,0.2678593524139575,0.2678593524139575,0.36874188773314714,0.9655076860037374,0.6350758936740257,0.22912885182778697,0.2663340059408786,-0.19871180653301698,-0.19871180653301698,-0.1987118065330175,-0.39080934411958773,-0.39080934411958773,-0.0386701992903203,-0.8654011358783253,-0.2971539002515944,0.38939173905429164,-0.2584837009612741,0.18853726302565332,0.18853726302565332,0.18853726302565288,0.2670195354574417,0.2670195354574417,0.0,5.561946577567963e-17,3.122502256758253e-17,5.647850449853784e-17,1.4066787712673077,1.4217914779464254,suspended_pr_ankle_pitch_roll_pd
36,0.18500000000000008,0.0,0.0,1.05,0,constant,circle,0.2,0.58,-0.13967492834606504,0.10173362813496396,-0.1095656016938453,0.2215237584157956,0.030109326652219742,-0.02053808941347146,-0.02053808941347146,-0.02053808941347235,-0.02053808941347235,0.2661302608316999,1.026109860945396,0.5680230187560515,-0.1326176586524605,0.30189275792435166,-0.297010017963359,-0.297010017963359,-0.29701001796335724,-0.29701001796335724,-0.16032511709272693,-0.10173332851878124,-0.1904343983061547,-0.2215237584157956,-0.030109281213427763,0.02053586711033084,0.02053586711033084,0.020535867110330397,0.020535867110330397,-0.26613025871275303,-1.026109911576955,-0.5680230187560515,0.13261765865246045,-0.3018927600432985,0.29701067148940297,0.29701067148940297,0.2970106714893994,0.2970106714893994,0.36286438819678496,0.6604454675226444,0.5337388471929206,-0.3559204082672108,0.17087445899613568,-0.16860722772046186,-0.16860722772046186,-0.16860722772046038,0.3645706885164414,0.3645706885164414,-0.07881505069272715,-1.0256830150946623,-0.39046208624455486,-0.14809089172732495,-0.3116470355518277,0.19060317892188583,0.19060317892188583,0.19060317892188508,0.24752197935689627,0.24752197935689627,0.38733636905493285,0.9075493823542568,0.6395610246492575,0.21933284053638202,0.2522246555943246,-0.1866134326504263,-0.1866134326504263,-0.18661343265042393,-0.36939946330458323,-0.36939946330458323,-0.054992663841198566,-0.7875096900335076,-0.2892466190989298,0.4012898437540987,-0.23425395525773124,0.17459324269115264,0.17459324269115264,0.17459324269115062,0.24640801383121202,0.24640801383121202,0.0,6.938893903907228e-18,3.469446951953614e-18,0.0,1.4145237641286983,1.4330821498884418,suspended_pr_ankle_pitch_roll_pd
