step,time,root_x,root_y,root_z,contact_count,amp_stage,pitch_amp_current,roll_amp_current,left_pitch_pos,left_pitch_vel,left_pitch_target,left_pitch_target_vel,left_pitch_error,left_pitch_tau,left_pitch_tau_mj,left_pitch_tau_pd,left_pitch_tau_pd_unclipped,left_roll_pos,left_roll_vel,left_roll_target,left_roll_target_vel,left_roll_error,left_roll_tau,left_roll_tau_mj,left_roll_tau_pd,left_roll_tau_pd_unclipped,right_pitch_pos,right_pitch_vel,right_pitch_target,right_pitch_target_vel,right_pitch_error,right_pitch_tau,right_pitch_tau_mj,right_pitch_tau_pd,right_pitch_tau_pd_unclipped,right_roll_pos,right_roll_vel,right_roll_target,right_roll_target_vel,right_roll_error,right_roll_tau,right_roll_tau_mj,right_roll_tau_pd,right_roll_tau_pd_unclipped,left_upper_pos,left_upper_vel,left_upper_target,left_upper_target_vel,left_upper_error,left_upper_tau,left_upper_tau_equiv,left_upper_tau_equiv_from_pd,left_upper_tau_calc_model,left_upper_tau_calc_model_unclipped,left_lower_pos,left_lower_vel,left_lower_target,left_lower_target_vel,left_lower_error,left_lower_tau,left_lower_tau_equiv,left_lower_tau_equiv_from_pd,left_lower_tau_calc_model,left_lower_tau_calc_model_unclipped,right_upper_pos,right_upper_vel,right_upper_target,right_upper_target_vel,right_upper_error,right_upper_tau,right_upper_tau_equiv,right_upper_tau_equiv_from_pd,right_upper_tau_calc_model,right_upper_tau_calc_model_unclipped,right_lower_pos,right_lower_vel,right_lower_target,right_lower_target_vel,right_lower_error,right_lower_tau,right_lower_tau_equiv,right_lower_tau_equiv_from_pd,right_lower_tau_calc_model,right_lower_tau_calc_model_unclipped,left_tau_equiv_residual,right_tau_equiv_residual,left_tau_equiv_pd_residual,right_tau_equiv_pd_residual,left_jacobian_cond,right_jacobian_cond,source
0,0.005,0.0,0.0,1.05,0,small,0.2,0.14,-0.14991703393970623,0.016593212058749737,-0.12585606277686368,0.6570801304957252,0.02406097116284256,0.03733879552046415,0.03733879552046415,0.03733879552046411,0.03733879552046411,0.00029854342940245854,0.059708685880491705,0.08431379868541694,0.4555834881045244,0.08401525525601448,0.1215328468776139,0.1215328468776139,0.1215328468776139,0.1215328468776139,-0.149182360304093,0.16352793918139885,0.08791296253847472,-0.03521119101619583,0.2370953228425677,0.3678369183058442,0.3678369183058442,0.3678369183058443,0.3678369183058443,0.0004129538275739011,0.08259076551478021,0.11662664920527338,-0.24275413664830622,0.11621369537769947,0.16811464931459635,0.16811464931459635,0.1681146493145963,0.1681146493145963,0.161496454880122,0.031063232755702434,0.2036671692002026,-0.3685102503647793,0.04217071432008063,0.05640628457445178,0.05640628457445178,0.0564062845744518,-0.18134081938644458,-0.18134081938644458,0.16192937430465287,-0.0688156696193731,0.06382647936507517,-1.124316253470005,-0.0981028949395777,-0.08899100477723297,-0.08899100477723297,-0.08899100477723296,-0.07024897315560766,-0.07024897315560766,0.16006371552892587,-0.25542170372990686,-0.1865002224927672,0.2474531922242855,-0.34656393802169305,-0.2617203393242805,-0.2617203393242805,-0.2617203393242805,-0.6109156741383088,-0.6109156741383088,0.16168471760807326,-0.11770059064161906,0.007007819995399771,-0.15567323784076767,-0.1546768976126735,-0.061064059036370716,-0.061064059036370716,-0.0610640590363708,-0.16756043604347923,-0.16756043604347923,1.5515838457795457e-17,6.206335383118183e-17,1.5515838457795457e-17,6.206335383118183e-17,1.364513100805034,1.3638280625147532,suspended_pr_ankle_pitch_roll_pd
4,0.025,0.0,0.0,1.05,0,small,0.2,0.14,-0.1493190755250219,0.035222662683830286,-0.1127913455573935,0.6490437448964637,0.03652772996762842,0.006525336418990557,0.006525336418990557,0.006525336418990668,0.006525336418990668,0.0020142479969323915,0.09073419556467893,0.0931900562220219,0.43173299968619006,0.0911758082250895,0.002208063302052865,0.002208063302052865,0.002208063302052865,0.002208063302052865,-0.14464936030440498,0.23234823612362512,0.08691899861616356,-0.06402963080000745,0.23156835892056854,-0.0038993860152829463,-0.0038993860152829463,-0.0038993860152829463,-0.0038993860152829463,0.0026007578057588646,0.10990386557186362,0.11142478040767133,-0.2773382946191671,0.10882402260191246,-0.005399214849755807,-0.005399214849755807,-0.005399214849755807,-0.005399214849755807,0.1622508293752604,0.03578067575376265,0.19624475618903922,-0.3736126134380762,0.03399392681377883,-0.0015375414814596032,-0.0015375414814596032,-0.0015375414814596522,-0.009955282549620073,-0.009955282549620073,0.15981326731566164,-0.11602281263002522,0.04168361632001684,-1.0893904631863667,-0.1181296509956448,-0.004181943475250444,-0.004181943475250444,-0.004181943475250492,0.00361436819877381,0.00361436819877381,0.15307762240304187,-0.3557473151538766,-0.1809742179658531,0.30488235874446273,-0.334051840368895,0.004946261428430808,0.004946261428430808,0.004946261428430808,0.010568676933185646,0.010568676933185646,0.1583448353134395,-0.17266771179774393,0.0038963292319949107,-0.15558509399458953,-0.15444850608144461,-0.0015069938371624547,-0.0015069938371624547,-0.0015069938371624547,-0.001238785038001132,-0.001238785038001132,4.336808689942018e-19,1.5636586103463754e-18,8.673617379884035e-19,1.5636586103463754e-18,1.3639288625899717,1.3595863036709488,suspended_pr_ankle_pitch_roll_pd
8,0.045,0.0,0.0,1.05,0,small,0.2,0.14,-0.14846080467832604,0.04744337094725794,-0.09990806845796676,0.6389443267321506,0.04855273622035927,0.00554682636550663,0.00554682636550663,0.005546826365506685,0.005546826365506685,0.003915357207968484,0.09748918866309915,0.10157128280562584,0.40610742595423427,0.09765592559765736,0.0008336846727909908,0.0008336846727909908,0.0008336846727910463,0.0008336846727910463,-0.1400626375008092,0.22713784235085238,0.08535842634549365,-0.09185097359527122,0.22542106384630284,-0.008583892522747716,-0.008583892522747716,-0.008583892522747716,-0.008583892522747716,0.00470459128382707,0.1021842997695151,0.10553771680601301,-0.3112324253885487,0.10083312552218594,-0.006755871236645783,-0.006755871236645783,-0.006755871236645672,-0.006755871236645672,0.1628633248422928,0.027493044656635875,0.18872753944293513,-0.37798462009662437,0.025864214600642338,-0.0019342721295026715,-0.0019342721295026715,-0.0019342721295026628,-0.007267263856719342,-0.007267263856719342,0.15724504574668677,-0.13561092875480593,0.020273407293762116,-1.0510836037900184,-0.13697163845292465,-0.002932023376548319,-0.002932023376548319,-0.0029320233765483764,0.0039412153531954725,0.0039412153531954725,0.14611923766010795,-0.3424525988518063,-0.17431674135093925,0.36054593687523806,-0.3204359790110472,0.007828917787998352,0.007828917787998352,0.007828917787998286,0.017367860171838403,0.017367860171838403,0.15488926170263412,-0.17239999768844386,0.0007802138176762818,-0.15612058249426172,-0.15410904788495783,-0.00023760118914275142,-0.00023760118914275142,-0.00023760118914268507,0.0015598306485195852,0.0015598306485195852,2.168404344971009e-19,0.0,7.589415207398531e-19,8.673617379884035e-19,1.3631038991929523,1.3553058229900834,suspended_pr_ankle_pitch_roll_pd
12,0.06499999999999999,0.0,0.0,1.05,0,small,0.2,0.14,-0.1473651716156667,0.05912311340895173,-0.08724697102877334,0.6268354064314017,0.060118200586893364,0.004975435889708224,0.004975435889708224,0.0049754358897081685,0.0049754358897081685,0.005940265292974916,0.10341566549542237,0.10942362695329776,0.37887315917662034,0.10348336166032283,0.0003384808245022741,0.0003384808245022741,0.0003384808245022741,0.0003384808245022741,-0.13560003445720364,0.22066318691454714,0.08325242413808556,-0.11855293088161267,0.2188524585952892,-0.00905364159628963,-0.00905364159628963,-0.00905364159628963,-0.00905364159628963,0.006643014762055645,0.09370070129854005,0.09898174026770948,-0.3441879764982705,0.09233872550565383,-0.006809878964431082,-0.006809878964431082,-0.006809878964431082,-0.006809878964431082,0.16330881968125383,0.019145364273120906,0.1811304674649868,-0.38159249025610853,0.017821647783732963,-0.001983032909455427,-0.001983032909455427,-0.0019830329094554016,-0.006047181798726306,-0.006047181798726306,0.15430283561672412,-0.15386242041220904,-0.00033854443238013124,-1.0095995804702818,-0.15464138004910424,-0.0023861145985034087,-0.0023861145985034087,-0.0023861145985033844,0.0038747057032028024,0.0038747057032028024,0.13945769665584123,-0.32716558078931535,-0.16656630510576137,0.41411864711830354,-0.3060240017616026,0.008081205082286004,0.008081205082286004,0.008081205082286004,0.017899091193009222,0.017899091193009222,0.15145190862658683,-0.17138730300210936,-0.0023520559961936224,-0.15719178913373,-0.15380396462278045,-4.66563831675615e-05,-4.66563831675615e-05,-4.66563831675615e-05,0.001915633421970124,0.001915633421970124,9.087270115126198e-19,1.734723475976807e-18,4.87890977618477e-19,1.734723475976807e-18,1.3620612936149306,1.3511518989519207,suspended_pr_ankle_pitch_roll_pd
16,0.085,0.0,0.0,1.05,0,small,0.2,0.14,-0.14604216007344967,0.07030352253701279,-0.07484763803646334,0.6127788783116682,0.07119452203698633,0.004454997499867663,0.004454997499867663,0.004454997499867719,0.004454997499867719,0.008075314227268812,0.10866966476429224,0.11671664299836003,0.35020417596953546,0.10864132877109121,-0.0001416799660051149,-0.0001416799660051149,-0.0001416799660051149,-0.0001416799660051149,-0.131272566188345,0.21374999390204416,0.0806245321673448,-0.14402173740485744,0.21189709835568982,-0.009264477731771636,-0.009264477731771636,-0.009264477731771636,-0.009264477731771636,0.008405708881296638,0.08473748848856165,0.09177812173555032,-0.3759549542914104,0.08337241285425367,-0.006825378171539831,-0.006825378171539831,-0.0068253781715398865,-0.0068253781715398865,0.1635876599917382,0.01082640100036233,0.17346914378474942,-0.38440489628230246,0.009881483793011236,-0.002044904886861671,-0.002044904886861671,-0.002044904886861695,-0.004903370085065129,-0.004903370085065129,0.15101004217853134,-0.17094981898096873,-0.020090825197024344,-0.9651532779770466,-0.1711008673755557,-0.0018715706453779465,-0.0018715706453779465,-0.001871570645377971,0.00383893650650843,0.00383893650650843,0.13311245687711865,-0.31106394166210555,-0.15776798517353655,0.46528732492514746,-0.2908804420506552,0.008196492036193642,0.008196492036193642,0.008196492036193676,0.018094315582396974,0.018094315582396974,0.1480355298934824,-0.1703356705858902,-0.005510311457673895,-0.15869686156553742,-0.1535458413511563,5.292104878144377e-05,5.292104878144377e-05,5.292104878141059e-05,0.0020863314017393916,0.0020863314017393916,5.421010862427522e-20,0.0,5.149960319306146e-19,8.673617379884035e-19,1.3608121848011359,1.3471312788615402,suspended_pr_ankle_pitch_roll_pd
20,0.10500000000000002,0.0,0.0,1.05,0,small,0.2,0.14,-0.1445019968737805,0.08096459933132115,-0.06274833554131919,0.5968446582257105,0.08175366133246133,0.003945310005700864,0.003945310005700864,0.003945310005700864,0.003945310005700864,0.010306899763415455,0.1132387208713898,0.12342342987488568,0.3202807405010637,0.11311653011147023,-0.0006109537995978576,-0.0006109537995978576,-0.0006109537995978576,-0.0006109537995978576,-0.12708808646541936,0.20646466653294113,0.07750047476716918,-0.16815285419952133,0.20458856123258853,-0.00938052650176302,-0.00938052650176302,-0.00938052650176302,-0.00938052650176302,0.009983548452768883,0.07533172022340731,0.08395312815023794,-0.4062841241446786,0.07396957969746905,-0.006810702629691301,-0.006810702629691301,-0.006810702629691301,-0.006810702629691301,0.16370061822769258,0.0025533762924811842,0.16575975789768427,-0.3863945079121112,0.0020591396699916886,-0.002104619068915889,-0.002104619068915889,-0.002104619068915889,-0.003785842974201088,-0.003785842974201088,0.1473903977073244,-0.18683561172566068,-0.03892643337669268,-0.9179710020916122,-0.1863168310840171,-0.001368158345969179,-0.001368158345969179,-0.001368158345969179,0.00380383180012893,0.00380383180012893,0.12709835739571695,-0.2942555849349726,-0.14797283146998513,0.5137537222658765,-0.2750711888657021,0.008251674411576343,0.008251674411576343,0.008251674411576343,0.018150175805821917,0.018150175805821917,0.14464022484902878,-0.16929183066140774,-0.00870205739131289,-0.16052055487916306,-0.15334228224034166,0.00012822792664297147,0.00012822792664297147,0.00012822792664297147,0.0022022414102574484,0.0022022414102574484,2.168404344971009e-19,8.673617379884035e-19,2.168404344971009e-19,8.673617379884035e-19,1.3593679957770162,1.3432512550613578,suspended_pr_ankle_pitch_roll_pd
24,0.12500000000000003,0.0,0.0,1.05,0,small,0.2,0.14,-0.1427553572417672,0.0910831162145179,-0.050985854226288554,0.579110301072811,0.09176950301547863,0.0034319340048037383,0.0034319340048037383,0.003431934004803683,0.003431934004803683,0.012621193828223078,0.11711298099920955,0.1295207436085577,0.2892880736944853,0.11689954978033462,-0.0010671560943746883,-0.0010671560943746883,-0.0010671560943745773,-0.0010671560943745773,-0.12305349926812258,0.19884934040536473,0.07390796942030955,-0.19085160583439634,0.19696146868843212,-0.009439358584663049,-0.009439358584663049,-0.009439358584663049,-0.009439358584663049,0.011368168321199986,0.06552278471164158,0.07553798483538483,-0.4349292603420908,0.06416981651418485,-0.006764840987283693,-0.006764840987283693,-0.006764840987283638,-0.006764840987283638,0.16364887838813508,-0.0056514761420865195,0.15801900271671926,-0.38753839256247063,-0.005629875671415818,-0.002154384651634552,-0.002154384651634552,-0.0021543846516344613,-0.0026811723764379896,-0.0026811723764379896,0.14346840410430503,-0.2014822280800969,-0.05679300372541129,-0.8682900559402289,-0.20026140782971633,-0.0008707366431696785,-0.0008707366431696785,-0.0008707366431697205,0.003755578808225415,0.003755578808225415,0.12142851376574297,-0.2768207466545938,-0.13723772735344789,0.5592371837018151,-0.25866624111919084,0.00826252583659756,0.00826252583659756,0.008262525836597527,0.018108886857218297,0.018108886857218297,0.14126560874892752,-0.16827273372389928,-0.011932408719662075,-0.16253512977817347,-0.1531980174685896,0.000196246153239644,0.000196246153239644,0.0001962461532396772,0.002295512486431513,0.002295512486431513,0.0,1.734723475976807e-18,2.168404344971009e-19,0.0,1.3577388951028977,1.339512867965551,suspended_pr_ankle_pitch_roll_pd
28,0.14500000000000005,0.0,0.0,1.05,0,small,0.2,0.14,-0.1408133845732032,0.10063580579227939,-0.039595360759234116,0.5596605803453693,0.10121802381396908,0.0029110901084483387,0.0029110901084483387,0.0029110901084483665,0.0029110901084483665,0.015004219973016372,0.12028649104849072,0.13498908294079118,0.25741499915216914,0.1199848629677748,-0.0015081404035796053,-0.0015081404035796053,-0.0015081404035796053,-0.0015081404035796053,-0.11917492597941057,0.1909421119354861,0.06987652369633507,-0.21203374752013168,0.18905144967574564,-0.00945331129870236,-0.00945331129870236,-0.009453311298702416,-0.009453311298702416,0.012552041915149926,0.055354120752197054,0.06656879257349735,-0.4616494233381605,0.05401675065834742,-0.006686850469248162,-0.006686850469248162,-0.006686850469248162,-0.006686850469248162,0.1634341043839488,-0.013763489090011752,0.15026398260080856,-0.3878183817733179,-0.013170121783140226,-0.0021911067682526763,-0.0021911067682526763,-0.0021911067682526884,-0.001587971577798001,-0.001587971577798001,0.13926926861555397,-0.21485613409657803,-0.07364302785461513,-0.8163585976020851,-0.2129122964701691,-0.0003788288748884591,-0.0003788288748884591,-0.0003788288748884713,0.0036893025582427114,0.0036893025582427114,0.1161144570930347,-0.25883934906148603,-0.1256249739343037,0.6014769457213547,-0.2417394310273384,0.008233760570612552,0.008233760570612552,0.008233760570612578,0.017984107240616998,0.017984107240616998,0.13791107986276022,-0.16728633706968193,-0.015203810753548378,-0.16460160505486002,-0.1531148906163086,0.00026277535170535975,0.00026277535170535975,0.00026277535170538474,0.002377135522688862,0.002377135522688862,2.168404344971009e-19,8.673617379884035e-19,2.168404344971009e-19,8.673617379884035e-19,1.3559385862566105,1.3359217032742414,suspended_pr_ankle_pitch_roll_pd
32,0.16500000000000006,0.0,0.0,1.05,0,small,0.2,0.14,-0.13868767182069539,0.10960077919789375,-0.028610257924244598,0.5385870320891438,0.11007741389645079,0.0023831734927852177,0.0023831734927852177,0.0023831734927851622,0.0023831734927851622,0.017441931373524445,0.12275718970084722,0.13981274772894853,0.22485257665705943,0.12237081635542409,-0.0019318667271155388,-0.0019318667271155388,-0.0019318667271156498,-0.0019318667271156498,-0.115457736469218,0.1827804311326488,0.06543722158146778,-0.231625958213149,0.18089495805068578,-0.009427365409815147,-0.009427365409815147,-0.009427365409815147,-0.009427365409815147,0.013528560131946886,0.04487303489919192,0.05708639905273396,-0.4862112415752652,0.04355783892078707,-0.006575979892024242,-0.006575979892024242,-0.006575979892024242,-0.006575979892024242,0.16305846632429413,-0.021757205893219302,0.14251211613683615,-0.3872212306029552,-0.020546350187457985,-0.0022135992648649387,-0.0022135992648649387,-0.0022135992648649808,-0.0005094141109150248,-0.0005094141109150248,0.13481879409146202,-0.22693011461891838,-0.08943406580482194,-0.7624340032790624,-0.22425285989628396,0.00010626440450837437,0.00010626440450837437,0.00010626440450846524,0.0036036970707767485,0.0036036970707767485,0.11116611629138565,-0.2403919565199514,-0.11320187237835308,0.6402340810239676,-0.22436798866973873,0.008167012642087771,0.008167012642087771,0.008167012642087771,0.017781273954215082,0.017781273954215082,0.13457593070591387,-0.16633626139391042,-0.018515829961107576,-0.16657137812843795,-0.15309176066702143,0.00033028241002400763,0.00033028241002400763,0.00033028241002400763,0.002451757647834727,0.002451757647834727,2.168404344971009e-19,0.0,0.0,0.0,1.353977052331614,1.3324782966594717,suspended_pr_ankle_pitch_roll_pd
36,0.18500000000000008,0.0,0.0,1.05,0,small,0.2,0.14,-0.13639022524828662,0.11795815359645756,-0.018062054208323436,0.5159874658493686,0.11832817103996318,0.0018500872175280791,0.0018500872175280791,0.001850087217528107,0.001850087217528107,0.019920288183340226,0.12452686485486686,0.1439798699832232,0.19179273415399145,0.12405958179988298,-0.0023364152749193456,-0.0023364152749193456,-0.0023364152749193456,-0.0023364152749193456,-0.11190655014497257,0.17440190209184925,0.060622500714683725,-0.24956625637275154,0.1725290508596563,-0.009364256160964757,-0.009364256160964757,-0.009364256160964701,-0.009364256160964701,0.014292105718277071,0.03413045809055027,0.04713622482478238,-0.5083911746751795,0.03284411910650531,-0.006431694920224801,-0.006431694920224801,-0.006431694920224801,-0.006431694920224801,0.16252464599165697,-0.029607127062052162,0.13478103775068767,-0.3857385830300213,-0.027743608240969303,-0.002221423527245856,-0.002221423527245856,-0.002221423527245868,0.0005498268130352129,0.0005498268130352129,0.1301432506237821,-0.23768285182490884,-0.10412894349893079,-0.7067879335171547,-0.23427219412271288,0.0005826401214022932,0.0005826401214022932,0.000582640121402281,0.0034987913901888355,0.0034987913901888355,0.10659176859031291,-0.22156280272885176,-0.10004027003696708,0.6752931513629544,-0.20663203862728,0.008063050313469008,0.008063050313469008,0.008063050313468982,0.017503508582316692,0.017503508582316692,0.13125942061665036,-0.16542333920470823,-0.021864980719722614,-0.16828819766569553,-0.15312440133637298,0.000400117386070063,0.000400117386070063,0.00040011738607003783,0.002522031807437013,0.002522031807437013,2.168404344971009e-19,0.0,4.84869951806108e-19,8.673617379884035e-19,1.3518682454904767,1.3291915105175751,suspended_pr_ankle_pitch_roll_pd
